site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p99
03350655	ALL	20081028	20141021	2185	22.45	50.03	0.27	1030.00	0.48	0.75	1.10	1.60	2.40	2.90	3.50	4.10	5.40	7.20	8.60	10.00	12.00	14.00	16.00	20.00	26.00	36.00	52.40	90.00	229.28
03350655	0101	20090101	20140101	6	23.45	15.26	8.20	47.00				8.27	8.72	9.18	10.05	11.97	13.90	16.95	21.50	26.05	29.00	30.75	32.50	36.50	41.40	46.30			
03350655	0102	20090102	20140102	6	17.10	8.55	7.20	26.00				7.31	8.08	8.85	9.66	10.57	11.48	13.50	17.00	20.50	22.80	24.20	25.60	26.00	26.00	26.00			
03350655	0103	20090103	20140103	6	13.02	5.58	6.20	21.00				6.36	7.44	8.53	9.33	9.44	9.54	10.41	12.30	14.19	15.40	16.10	16.80	18.00	19.40	20.80			
03350655	0104	20090104	20140104	6	11.58	4.91	6.40	19.00				6.48	7.04	7.60	8.11	8.49	8.88	9.38	10.05	10.71	12.00	13.75	15.50	16.75	17.80	18.85			
03350655	0105	20090105	20140105	6	10.28	4.60	6.00	17.00				6.03	6.20	6.38	6.68	7.31	7.94	8.39	8.60	8.81	10.12	12.26	14.39	15.50	16.20	16.90			
03350655	0106	20090106	20140106	6	9.80	4.58	5.60	16.00				5.61	5.68	5.75	5.98	6.61	7.24	7.78	8.20	8.62	10.04	12.21	14.38	15.25	15.60	15.95			
03350655	0107	20090107	20140107	6	9.12	4.36	5.20	15.00				5.21	5.32	5.42	5.58	5.86	6.14	6.66	7.50	8.34	9.76	11.62	13.47	14.25	14.60	14.95			
03350655	0108	20090108	20140108	6	7.97	3.47	4.90	13.00				4.91	4.94	4.97	5.03	5.13	5.24	5.79	6.95	8.11	9.08	9.92	10.76	11.50	12.20	12.90			
03350655	0109	20090109	20140109	6	10.10	7.63	3.90	24.00				3.94	4.26	4.58	4.85	5.03	5.20	5.95	7.45	8.96	10.28	11.47	12.66	15.75	19.60	23.45			
03350655	0110	20090110	20140110	6	15.93	16.14	3.60	47.00				3.65	3.96	4.28	5.00	6.75	8.50	10.03	11.25	12.47	14.00	15.75	17.50	25.25	35.40	45.55			
03350655	0111	20090111	20140111	6	61.18	84.67	3.70	198.00				3.75	4.10	4.45	5.10	6.50	7.90	9.64	11.85	14.05	39.40	82.10	124.80	152.25	173.60	194.95			
03350655	0112	20090112	20140112	6	51.40	62.83	3.60	137.00				3.65	4.00	4.35	4.96	6.22	7.48	11.32	18.60	25.88	48.40	82.35	116.30	128.75	132.60	136.45			
