site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p99
06872500	ALL	19451001	20160224	25671	116.43	556.26	0.00	32300.00	1.60	6.40	10.00	13.00	15.00	18.00	20.00	22.00	24.00	28.00	32.00	37.00	43.00	51.00	62.00	78.00	95.00	128.00	171.00	365.00	1452.80
06872500	0101	19460101	20160101	71	40.90	51.55	2.70	342.00		8.06	9.34	10.80	12.40	14.00	16.00	17.20	19.80	21.00	23.00	24.60	25.20	29.80	39.20	45.00	56.40	76.40	99.20	139.40	
06872500	0102	19460102	20160102	71	41.15	52.37	2.70	347.00		7.92	9.00	10.80	12.00	14.00	15.00	18.20	19.00	22.40	24.00	25.00	26.00	30.00	40.20	50.00	51.00	75.20	89.60	137.60	
06872500	0103	19460103	20160103	71	41.38	52.20	3.00	344.00		7.80	9.60	11.80	14.00	15.00	16.60	18.20	20.00	21.40	24.00	25.00	27.20	30.00	40.40	47.00	50.60	73.60	88.20	145.40	
06872500	0104	19460104	20160104	71	41.01	51.56	2.90	338.00		7.80	10.00	12.00	13.00	15.00	16.00	18.20	20.00	21.00	24.00	25.00	27.00	31.80	36.00	46.00	50.60	72.00	89.20	141.00	
06872500	0105	19460105	20160105	71	41.57	57.00	3.20	403.00		7.98	9.20	10.80	12.40	14.00	15.60	18.00	20.00	21.40	23.00	24.60	26.80	33.80	36.00	45.00	52.00	70.00	96.20	143.80	
06872500	0106	19460106	20160106	71	41.20	59.48	5.00	433.00		8.00	9.28	11.00	12.40	14.00	16.00	18.00	19.80	20.00	21.00	23.60	25.00	33.40	37.40	41.00	50.00	70.00	94.80	143.80	
06872500	0107	19460107	20160107	71	40.56	55.43	4.70	390.00		6.94	9.20	10.00	12.40	14.00	15.60	17.20	18.80	20.00	21.00	22.00	28.20	32.60	38.20	40.00	54.20	68.20	94.60	142.60	
06872500	0108	19460108	20160108	71	40.80	55.53	4.50	400.00		8.10	9.60	10.80	12.40	15.00	16.00	17.20	19.80	20.00	22.00	24.60	28.20	34.80	40.00	44.00	51.40	68.20	94.80	142.00	
06872500	0109	19460109	20160109	71	40.72	55.66	2.70	410.00		7.34	9.50	11.00	13.00	14.00	16.00	17.20	19.00	20.40	23.00	26.20	27.40	32.80	40.00	45.00	54.20	69.20	95.20	138.40	
06872500	0110	19460110	20160110	71	40.87	56.36	1.40	425.00		6.50	9.84	11.00	12.40	14.00	16.00	18.20	20.00	20.00	25.00	27.60	30.00	32.60	40.00	42.00	53.00	72.80	95.60	126.80	
06872500	0111	19460111	20160111	71	41.34	56.22	1.60	423.00		6.30	10.00	11.80	13.40	16.00	17.00	18.20	19.00	21.00	24.00	26.80	30.40	34.00	36.40	45.00	51.80	74.80	104.00	125.80	
06872500	0112	19460112	20160112	71	42.13	56.88	1.80	423.00		5.78	9.84	10.80	13.40	16.00	18.20	19.00	20.00	22.00	24.00	25.00	30.00	34.80	37.80	50.00	51.60	76.20	109.00	128.20	
06872500	0113	19460113	20160113	71	43.47	58.36	1.80	430.00		5.50	9.52	10.80	13.00	16.00	18.60	20.00	20.00	22.00	24.00	25.60	30.00	35.40	40.80	49.00	55.00	79.60	118.00	132.00	
06872500	0114	19460114	20160114	71	44.75	59.65	1.90	432.00		6.40	9.60	11.00	13.00	17.00	18.60	20.00	20.80	22.40	25.00	25.60	30.20	35.40	42.00	49.00	58.80	84.20	123.00	140.00	
06872500	0115	19460115	20160115	71	45.08	58.98	1.50	423.00		4.72	8.48	11.80	13.00	14.00	18.60	20.00	20.80	22.80	25.00	27.60	30.20	35.60	43.20	50.00	58.20	98.40	120.00	137.00	
