site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p99
13342450	ALL	19741001	20160126	14232	75.52	139.69	0.93	3600.00	1.80	3.50	5.30	7.10	9.30	12.00	13.00	16.00	18.00	21.00	24.00	29.00	35.00	43.00	58.00	78.00	104.00	142.00	205.00	325.00	628.68
13342450	0101	19750101	20160101	40	84.78	300.74	12.00	1920.00		13.00	14.00	14.15	16.20	18.00	18.60	20.00	21.40	25.00	26.00	27.55	29.80	31.00	32.00	33.50	36.60	53.60	164.60	190.50	
13342450	0102	19750102	20160102	40	64.40	178.54	8.90	1140.00		10.10	14.10	15.00	16.20	18.25	19.30	20.35	21.40	23.45	25.50	26.55	28.20	32.60	34.70	36.75	40.00	62.05	132.40	181.75	
13342450	0103	19750103	20160103	40	59.11	131.80	8.60	815.00		10.01	15.10	16.15	18.00	18.25	19.30	20.70	22.00	22.00	23.50	26.10	28.00	31.60	38.90	43.50	47.60	55.85	106.80	271.80	
13342450	0104	19750104	20160104	40	53.56	94.44	8.70	576.00		10.01	15.00	16.00	19.20	21.00	21.30	22.35	24.00	24.00	25.00	27.00	27.60	31.00	38.50	42.75	44.80	73.80	139.60	203.65	
13342450	0105	19750105	20160105	40	54.58	78.09	9.00	441.00		9.41	13.20	17.00	19.40	21.00	22.00	22.70	24.40	25.45	26.50	29.65	31.60	35.90	39.70	43.25	78.80	91.70	151.50	227.45	
13342450	0106	19750106	20160106	40	59.87	78.58	9.90	376.00		10.00	13.20	17.00	19.20	20.00	22.00	24.00	24.40	25.00	27.00	28.00	30.20	31.65	35.50	45.00	95.40	145.95	173.40	238.60	
13342450	0107	19750107	20160107	40	61.30	80.63	10.00	338.00		11.10	14.10	17.00	18.20	21.25	22.00	23.35	24.00	25.00	28.00	28.00	30.20	32.30	36.10	57.50	102.00	134.20	185.10	297.45	
13342450	0108	19750108	20160108	40	66.20	85.83	10.00	334.00		11.05	14.20	17.15	19.40	21.25	23.00	23.00	23.40	25.00	28.50	29.00	31.40	36.60	38.00	52.25	110.60	161.30	230.70	293.50	
13342450	0109	19750109	20160109	40	66.03	83.12	10.00	314.00		11.10	16.00	17.15	20.20	21.25	23.00	24.00	25.00	26.35	28.50	30.55	31.60	37.30	38.70	68.00	121.40	164.05	187.10	305.90	
13342450	0110	19750110	20160110	40	66.47	93.11	9.80	489.00		12.15	15.10	18.00	20.20	21.25	23.00	24.00	24.00	26.80	30.00	31.55	34.20	35.65	41.50	69.25	103.40	139.95	187.40	298.45	
13342450	0111	19750111	20160111	40	65.67	88.41	9.60	414.00		14.05	16.20	18.00	19.20	20.25	21.30	22.70	24.80	29.00	30.00	32.55	34.00	37.00	43.60	61.75	113.40	142.25	158.80	356.80	
13342450	0112	19750112	20160112	40	64.78	73.05	6.00	296.00		9.68	16.10	18.00	18.20	20.25	21.60	24.05	27.00	29.45	33.00	37.55	38.00	42.30	53.60	88.25	106.00	137.70	184.20	259.15	
13342450	0113	19750113	20160113	40	58.42	56.03	7.00	233.00		11.25	16.20	19.15	20.20	21.00	22.30	23.35	26.40	30.35	34.00	35.55	41.80	48.90	61.40	84.50	95.00	124.70	159.40	193.75	
13342450	0114	19750114	20160114	40	61.20	53.74	11.00	218.00		13.15	16.40	21.00	22.20	23.00	25.30	27.00	28.40	31.00	36.00	40.85	45.60	57.20	77.00	90.25	109.80	132.30	153.40	178.75	
13342450	0115	19750115	20160115	40	85.62	118.78	13.00	623.00		14.10	16.30	21.00	22.20	24.25	26.30	28.05	30.00	30.45	37.50	42.10	46.80	52.00	75.40	83.75	122.00	189.10	219.70	355.90	
13342450	0116	19750116	20160116	40	107.70	210.24	13.00	990.00		13.15	18.00	20.00	23.00	24.25	26.00	26.35	28.40	31.00	34.50	39.10	46.60	52.25	62.70	78.50	106.40	165.30	252.00	894.65	
13342450	0117	19750117	20160117	40	101.55	189.23	14.00	972.00		14.25	19.10	22.00	22.00	23.25	25.00	26.00	26.40	30.80	36.00	38.55	42.20	56.25	72.30	84.75	119.80	145.15	251.60	719.35	
13342450	0118	19750118	20160118	40	91.90	133.94	14.00	624.00		15.20	20.10	22.00	23.20	24.00	26.00	26.00	30.00	35.45	39.00	41.10	45.80	61.45	72.50	115.25	126.00	147.60	257.10	553.80	
13342450	0119	19750119	20160119	40	82.78	100.77	14.00	464.00		16.05	21.10	23.00	23.20	25.00	25.30	26.35	31.20	34.00	37.00	47.20	58.00	65.00	77.90	104.25	125.20	130.70	249.70	372.65	
13342450	0120	19750120	20160120	40	74.75	84.00	14.00	380.00		16.05	20.10	21.15	22.20	25.25	26.00	26.70	31.40	32.90	34.00	40.20	47.00	60.65	67.50	93.00	116.00	161.65	216.00	279.75	
13342450	0121	19750121	20160121	40	69.30	76.40	13.00	316.00		14.15	19.00	20.15	21.80	25.25	26.30	27.35	30.40	32.45	35.00	37.65	43.60	55.65	62.50	82.75	113.80	136.20	197.60	292.95	
13342450	0122	19750122	20160122	40	71.20	93.60	9.90	509.00		15.10	18.10	19.45	22.40	25.25	26.30	28.00	32.40	33.45	35.00	38.20	44.20	52.55	58.40	70.25	105.20	117.00	183.40	272.15	
