site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p99
03077500	ALL	19400401	20141026	21027	883.62	821.01	0.00	9030.00	109.00	179.00	250.00	329.00	405.00	448.00	498.00	544.00	577.00	606.00	650.00	695.00	749.00	820.00	892.00	985.00	1110.00	1340.00	1710.00	2500.00	4467.20
03077500	0101	19410101	20140101	57	1140.09	925.27	104.00	4790.00		168.60	256.20	350.60	438.80	519.50	523.60	543.40	565.60	666.70	904.00	977.50	1078.00	1393.00	1514.00	1645.00	1874.00	2100.00	2228.00	2783.00	
03077500	0102	19410102	20140102	57	1212.53	1114.57	104.00	5210.00		187.20	252.00	327.40	364.60	426.50	520.20	575.90	779.20	861.70	915.00	977.90	1164.00	1197.00	1432.00	1580.00	1786.00	1922.00	2252.00	3955.00	
03077500	0103	19410103	20140103	57	1190.12	1066.32	104.00	5720.00		167.00	197.80	248.00	377.80	516.00	540.60	585.30	693.60	774.10	892.00	948.90	1092.00	1382.00	1458.00	1580.00	1714.00	1900.00	2824.00	3385.00	
03077500	0104	19410104	20140104	57	1116.93	996.35	104.00	5450.00		174.70	199.20	234.00	351.00	521.00	548.40	620.00	682.20	869.20	928.00	1006.40	1048.00	1094.00	1382.00	1475.00	1646.00	1755.00	2002.00	3348.00	
03077500	0105	19410105	20140105	57	1090.79	982.92	104.00	5170.00		175.60	214.40	257.50	339.40	396.00	524.00	551.10	652.00	703.30	868.00	935.30	1026.00	1097.00	1392.00	1460.00	1572.00	1723.00	2202.00	3272.00	
03077500	0106	19410106	20140106	57	1121.32	975.82	104.00	4610.00		174.60	198.80	233.30	350.00	406.00	499.00	570.30	675.40	729.30	792.00	963.20	1048.00	1142.00	1360.00	1570.00	1788.00	2024.00	2462.00	3372.00	
03077500	0107	19410107	20140107	57	1157.70	1113.16	104.00	5050.00		120.00	191.60	221.70	253.20	344.50	441.20	523.00	619.40	812.40	868.00	945.20	1038.00	1254.00	1406.00	1560.00	1914.00	2013.00	2246.00	4239.00	
03077500	0108	19410108	20140108	57	1131.37	1116.00	104.00	5060.00		119.50	173.80	208.00	303.80	352.00	398.40	526.00	689.20	759.10	870.00	939.80	1028.00	1071.00	1270.00	1460.00	1748.00	1938.00	2536.00	4239.00	
03077500	0109	19410109	20140109	57	1120.63	1000.08	104.00	4720.00		119.50	166.60	208.00	311.40	388.00	511.00	553.90	630.60	838.30	904.00	991.70	1036.00	1206.00	1372.00	1510.00	1664.00	1938.00	2474.00	3820.00	
03077500	0110	19410110	20140110	57	1011.49	775.71	104.00	3200.00		132.50	191.60	200.00	269.20	356.50	465.80	529.00	659.40	821.10	868.00	933.50	1020.00	1037.00	1342.00	1495.00	1658.00	1952.00	2218.00	2571.00	
03077500	0111	19410111	20140111	57	875.72	635.79	104.00	2910.00		164.50	198.80	260.20	346.80	445.50	469.40	495.80	559.80	634.60	726.00	769.50	858.00	924.40	1020.00	1200.00	1448.00	1690.00	1914.00	2192.00	
03077500	0112	19410112	20140112	57	894.98	630.62	104.00	2880.00		144.70	191.60	213.10	330.20	462.50	522.20	554.10	567.60	708.40	810.00	880.60	922.60	952.40	1056.00	1265.00	1376.00	1560.00	1748.00	2276.00	
03077500	0113	19410113	20140113	57	1005.23	733.53	129.00	3410.00		164.20	210.00	298.10	380.60	454.00	522.20	622.30	699.40	753.50	856.00	894.80	1004.80	1080.00	1232.00	1435.00	1556.00	1686.00	1978.00	2862.00	
03077500	0114	19410114	20140114	57	1083.77	811.57	129.00	3210.00		173.20	210.00	332.00	453.80	518.50	533.60	624.40	688.20	836.20	901.00	996.10	1036.00	1104.00	1226.00	1440.00	1606.00	1852.00	2744.00	2934.00	
03077500	0115	19410115	20140115	57	1051.65	853.75	129.00	3580.00		183.80	208.60	284.00	369.80	467.00	517.40	542.30	620.80	707.30	864.00	897.20	926.40	1108.00	1188.00	1375.00	1464.00	2015.00	2736.00	2934.00	
03077500	0116	19410116	20140116	57	1059.79	894.64	130.00	4000.00		169.90	197.80	262.60	377.80	445.50	510.40	548.30	609.00	708.70	794.00	859.50	896.40	1105.00	1286.00	1375.00	1482.00	1968.00	2744.00	3160.00	
03077500	0117	19410117	20140117	57	1136.05	981.86	85.00	4400.00		129.00	197.80	225.20	413.80	451.50	508.80	615.10	685.00	743.00	882.00	940.50	1076.00	1148.00	1352.00	1420.00	1712.00	2013.00	2732.00	3724.00	
03077500	0118	19410118	20140118	57	1143.68	1023.08	107.00	4460.00		136.20	200.40	285.00	391.60	468.00	508.80	592.00	665.60	716.40	848.00	885.40	1007.20	1148.00	1394.00	1565.00	1718.00	2088.00	2540.00	4153.00	
03077500	0119	19410119	20140119	57	1107.46	987.93	100.00	4350.00		119.00	202.00	257.70	283.20	419.00	500.40	515.60	615.40	762.00	860.00	910.50	1068.00	1114.00	1230.00	1535.00	1670.00	1986.00	2668.00	3860.00	
03077500	0120	19410120	20140120	57	1033.89	879.07	66.00	3610.00		123.50	159.80	232.20	370.20	491.00	510.40	547.10	620.40	671.90	780.00	849.00	901.20	1025.10	1174.00	1430.00	1574.00	1823.00	2462.00	3383.00	
