site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p99
11525670	ALL	20041001	20160221	4161	32.39	53.47	0.15	958.00	0.35	1.60	2.42	3.00	3.74	5.40	6.20	7.00	8.00	9.50	12.00	14.00	19.00	23.00	30.00	39.00	51.00	66.00	86.00	128.00	231.52
11525670	0101	20050101	20160101	12	54.26	114.32	3.10	413.00			4.45	7.38	7.96	8.45	9.10	10.74	12.80	15.40	17.00	18.60	21.20	26.50	34.10	47.75	54.60	74.80	306.20		
11525670	0102	20050102	20160102	12	43.38	81.80	3.20	299.00			4.40	7.00	7.74	8.82	10.71	11.55	12.60	14.55	17.50	20.15	20.80	25.05	31.50	41.25	46.60	61.50	224.00		
11525670	0103	20050103	20160103	12	36.76	62.11	3.10	230.00			4.27	6.80	9.40	11.25	11.90	12.55	13.60	15.55	16.50	17.45	19.40	23.60	29.30	37.75	41.80	52.35	173.90		
11525670	0104	20050104	20160104	12	53.76	82.47	3.10	251.00			4.27	6.80	9.40	11.25	11.90	13.65	16.00	19.25	20.50	21.75	25.00	30.95	37.10	37.75	104.40	206.35	236.90		
11525670	0105	20050105	20160105	12	40.92	51.75	3.10	186.00			4.24	6.71	9.36	11.75	13.70	16.75	19.20	19.85	22.50	26.20	31.40	33.90	35.80	41.00	63.80	99.55	158.70		
11525670	0106	20050106	20160106	12	36.17	43.93	3.10	165.00			4.24	6.71	9.36	11.50	12.80	15.75	18.60	20.55	22.50	24.90	28.80	31.35	34.50	44.25	53.20	66.20	133.80		
11525670	0107	20050107	20160107	12	32.91	39.60	3.00	150.00			4.17	6.71	8.76	11.00	13.60	15.10	16.80	19.40	21.50	24.20	29.40	31.45	32.10	32.75	42.20	60.70	121.80		
11525670	0108	20050108	20160108	12	29.55	33.98	2.90	132.00			4.04	6.51	9.28	11.75	13.70	14.55	16.40	20.95	22.50	23.90	27.80	29.45	30.10	30.75	33.80	42.70	103.80		
11525670	0109	20050109	20160109	12	27.72	29.72	2.90	117.00			4.04	6.51	9.28	12.00	14.60	15.00	16.40	20.95	23.00	24.45	26.40	27.45	28.30	30.25	31.80	37.20	91.80		
11525670	0110	20050110	20160110	12	26.71	28.19	2.90	111.00			4.01	6.42	8.64	11.00	13.60	14.00	15.40	19.95	23.00	25.30	26.60	27.90	29.10	29.75	30.00	34.05	86.70		
11525670	0111	20050111	20160111	12	27.28	29.64	3.10	116.00			4.15	6.42	8.46	10.78	13.57	14.00	15.40	19.95	23.00	25.30	26.60	27.00	27.10	27.75	31.20	40.00	92.00		
11525670	0112	20050112	20160112	12	28.26	27.05	3.00	106.00			4.08	6.42	8.34	10.38	12.65	16.85	21.20	25.10	26.00	26.15	26.80	27.00	27.50	30.75	36.40	46.15	87.10		
11525670	0113	20050113	20160113	12	43.02	44.69	2.90	127.00			3.98	6.32	8.48	10.10	10.88	15.40	20.00	23.25	26.50	29.45	31.40	35.15	45.10	84.75	106.40	116.55	123.70		
11525670	0114	20050114	20160114	12	36.76	34.60	3.00	109.00			4.02	6.23	8.38	10.28	11.77	15.85	19.60	21.55	24.50	27.30	28.60	36.65	48.30	63.25	77.00	90.00	103.00		
11525670	0115	20050115	20160115	12	31.65	28.10	3.00	99.00			4.02	6.23	8.20	10.05	11.74	15.30	18.60	20.55	23.50	26.15	26.80	36.00	47.20	48.50	54.20	63.85	87.90		
11525670	0116	20050116	20160116	12	33.17	29.94	2.90	94.00			3.80	5.75	7.88	9.90	11.72	16.40	20.00	20.00	22.50	25.75	29.00	34.50	41.60	52.00	66.80	83.55	90.70		
11525670	0117	20050117	20160117	12	44.17	56.58	2.90	202.00			3.62	5.18	7.40	9.85	12.58	16.30	19.20	19.85	21.50	24.95	33.40	36.00	39.60	63.00	80.00	97.50	169.00		
11525670	0118	20050118	20160118	12	59.95	75.26	2.90	220.00			4.07	6.61	7.94	9.53	11.67	16.40	20.00	20.00	20.50	24.45	39.40	51.65	65.60	95.50	142.60	197.20	212.80		
11525670	0119	20050119	20160119	12	79.96	125.40	2.80	419.00			4.51	8.21	8.92	9.90	11.72	16.40	20.00	20.00	20.50	25.80	46.60	54.35	60.40	89.00	155.20	247.05	364.70		
11525670	0120	20050120	20160120	12	65.58	88.21	2.80	300.00			4.42	7.93	10.48	13.75	18.30	19.55	20.20	20.85	23.50	29.30	43.60	54.30	65.30	86.75	126.20	179.35	261.90		
11525670	0121	20050121	20160121	12	52.99	57.79	2.70	201.00			4.35	7.92	9.88	12.75	17.30	18.55	19.40	20.70	32.50	44.60	47.20	53.40	63.00	82.50	99.20	117.40	174.60		
11525670	0122	20050122	20160122	12	45.82	46.62	2.70	140.00			4.62	8.78	10.24	12.75	17.30	18.00	18.60	20.55	22.00	25.85	38.20	48.30	58.70	76.25	100.20	126.70	135.80		
11525670	0123	20050123	20160123	12	48.06	60.21	2.70	217.00			4.89	9.63	10.60	12.50	16.40	17.00	17.00	17.00	20.00	25.40	35.80	45.30	55.50	71.75	83.60	98.25	179.50		
11525670	0124	20050124	20160124	12	42.85	44.11	2.70	156.00			4.74	9.16	10.40	11.75	13.70	15.10	16.20	16.85	27.00	37.75	41.00	46.95	55.10	68.75	77.20	85.70	133.80		
11525670	0125	20050125	20160125	12	43.08	36.98	2.70	128.00			4.68	8.97	9.72	11.50	15.40	17.65	21.60	30.05	34.50	39.40	49.80	55.25	59.60	70.00	75.60	80.50	113.00		
11525670	0126	20050126	20160126	12	51.14	40.26	2.70	134.00			4.59	8.69	9.60	11.50	15.40	26.45	37.40	45.20	50.50	55.20	60.40	65.15	69.20	70.50	84.20	105.50	125.00		
11525670	0127	20050127	20160127	12	49.77	39.23	2.70	134.00			4.47	8.30	9.44	11.50	15.40	25.90	35.00	38.25	47.00	56.65	63.80	66.00	67.10	74.25	81.80	91.25	120.50		
11525670	0128	20050128	20160128	12	53.99	56.65	2.60	208.00			4.31	8.02	9.32	11.25	14.50	21.05	27.40	31.95	39.50	47.95	56.40	65.75	74.70	79.25	82.60	91.15	171.10		
11525670	0129	20050129	20160129	12	56.41	62.75	2.90	209.00			4.49	7.94	9.16	11.10	14.48	17.75	22.40	30.20	35.50	41.25	51.00	54.90	59.00	78.50	109.60	148.20	189.80		
11525670	0130	20050130	20160130	12	51.38	54.63	2.80	183.00			4.39	7.83	9.00	10.95	14.46	16.10	19.80	28.90	33.00	36.05	40.60	49.65	63.70	94.25	106.80	111.75	160.50		
11525670	0131	20050131	20160131	12	44.92	42.89	2.70	134.00			4.23	7.54	8.82	10.62	13.55	15.10	18.80	27.90	31.00	33.20	38.40	49.45	63.50	79.75	94.00	107.40	125.60		
11525670	0201	20050201	20160201	12	45.00	46.34	2.90	153.00			4.37	7.55	8.70	10.47	13.53	15.10	18.60	27.05	29.50	30.60	33.20	46.15	62.40	71.50	88.20	110.25	139.50		
11525670	0202	20050202	20160202	12	50.53	68.20	2.90	250.00			4.28	7.27	8.40	10.50	14.40	17.20	20.60	25.80	27.50	28.75	32.00	45.15	60.40	63.00	74.80	98.95	202.30		
11525670	0203	20050203	20160203	12	44.44	52.35	2.90	192.00			4.28	7.27	8.34	10.18	13.49	17.30	21.40	25.95	27.50	28.75	32.00	44.70	59.10	59.75	68.40	86.55	158.70		
11525670	0204	20050204	20160204	12	48.44	55.88	2.90	168.00			4.22	7.08	8.38	10.07	12.61	15.20	18.80	24.65	26.50	27.45	29.40	42.15	58.60	69.00	104.20	151.85	162.90		
11525670	0205	20050205	20160205	12	67.08	116.51	2.80	417.00			4.36	7.74	8.72	10.15	12.62	15.20	18.60	23.80	26.00	27.00	27.00	39.15	55.10	62.25	95.00	153.85	333.90		
11525670	0206	20050206	20160206	12	72.35	89.11	3.00	269.00			4.86	8.89	10.88	15.25	23.70	26.10	27.00	27.00	28.50	33.30	47.60	55.60	66.40	108.00	166.40	231.95	257.30		
11525670	0207	20050207	20160207	12	76.62	109.17	3.40	383.00			5.38	9.67	14.80	19.75	24.30	25.55	26.40	27.70	28.00	31.00	44.00	51.60	61.30	95.75	139.40	194.90	323.60		
11525670	0208	20050208	20160208	12	61.68	67.48	5.20	237.00			9.64	19.26	22.40	24.25	24.90	26.10	27.40	28.70	30.50	34.10	43.20	49.15	57.40	86.00	116.20	149.60	209.40		
11525670	0209	20050209	20160209	12	70.00	101.52	12.00	377.00			13.20	15.80	20.20	23.25	23.90	24.00	25.40	29.95	33.00	36.20	41.40	46.15	53.80	78.50	99.60	130.00	299.00		
11525670	0210	20050210	20160210	12	55.17	54.71	14.00	208.00			14.60	15.90	19.00	21.50	22.80	23.00	25.00	31.50	37.00	42.20	47.40	52.60	59.30	74.25	86.80	102.55	174.70		
