site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p99
02264051	ALL	19861001	20151004	10596	2.17	4.50	0.00	67.00	0.00	0.05	0.11	0.21	0.30	0.38	0.45	0.51	0.59	0.66	0.75	0.83	0.97	1.10	1.30	1.68	2.20	3.30	5.40	10.00	23.00
02264051	0101	19870101	20150101	29	2.64	7.59	0.05	40.00		0.05	0.11	0.22	0.35	0.38	0.39	0.44	0.52	0.56	0.62	0.66	0.72	0.82	1.00	1.20	1.50	2.65	4.30	26.50	
02264051	0102	19870102	20150102	29	2.13	5.25	0.05	26.00		0.06	0.14	0.33	0.38	0.39	0.40	0.46	0.52	0.56	0.60	0.66	0.82	0.93	1.20	1.35	1.50	1.80	3.30	20.00	
02264051	0103	19870103	20150103	29	1.67	3.07	0.03	15.00		0.05	0.15	0.25	0.38	0.39	0.44	0.47	0.50	0.57	0.63	0.68	0.79	0.91	1.20	1.20	1.20	3.25	4.60	11.55	
02264051	0104	19870104	20150104	29	1.11	1.49	0.03	5.40		0.07	0.10	0.18	0.38	0.39	0.43	0.44	0.48	0.54	0.58	0.60	0.66	0.83	0.90	1.01	1.20	1.85	5.00	5.30	
02264051	0105	19870105	20150105	29	0.82	0.91	0.03	4.00		0.07	0.10	0.18	0.28	0.38	0.38	0.43	0.46	0.52	0.52	0.55	0.64	0.69	0.80	0.83	0.96	1.60	2.30	3.50	
02264051	0106	19870106	20150106	29	0.72	0.64	0.04	3.00		0.07	0.10	0.17	0.29	0.38	0.39	0.41	0.44	0.48	0.57	0.62	0.64	0.77	0.81	0.85	0.89	1.18	1.70	2.55	
02264051	0107	19870107	20150107	29	0.70	0.60	0.04	2.60		0.05	0.10	0.17	0.38	0.38	0.40	0.43	0.46	0.47	0.48	0.57	0.64	0.70	0.76	0.83	0.93	1.20	1.50	2.45	
02264051	0108	19870108	20150108	29	0.86	1.08	0.04	5.80		0.05	0.08	0.17	0.27	0.38	0.38	0.39	0.40	0.50	0.63	0.65	0.66	0.81	0.93	1.00	1.30	1.45	1.70	3.90	
02264051	0109	19870109	20150109	29	0.78	0.71	0.04	3.20		0.06	0.10	0.26	0.32	0.34	0.38	0.40	0.54	0.57	0.62	0.66	0.72	0.78	0.83	0.87	1.20	1.25	1.80	2.90	
02264051	0110	19870110	20150110	29	0.69	0.47	0.04	1.70		0.07	0.10	0.24	0.30	0.34	0.38	0.41	0.45	0.53	0.60	0.65	0.66	0.74	0.86	1.06	1.30	1.30	1.40	1.65	
02264051	0111	19870111	20150111	29	0.61	0.35	0.05	1.50		0.07	0.10	0.28	0.33	0.37	0.38	0.41	0.43	0.50	0.58	0.65	0.67	0.69	0.79	0.84	0.91	1.00	1.10	1.35	
02264051	0112	19870112	20150112	29	1.14	2.71	0.05	15.00		0.07	0.25	0.29	0.33	0.38	0.39	0.43	0.46	0.49	0.53	0.62	0.68	0.73	0.77	0.81	0.94	1.04	1.40	8.80	
02264051	0113	19870113	20150113	29	1.48	2.91	0.03	15.00		0.06	0.15	0.26	0.28	0.35	0.38	0.39	0.40	0.46	0.50	0.68	0.73	0.79	0.84	1.00	1.40	2.55	4.80	10.20	
02264051	0114	19870114	20150114	29	1.44	2.67	0.03	14.00		0.05	0.12	0.17	0.29	0.38	0.39	0.41	0.46	0.57	0.64	0.70	0.81	0.90	1.00	1.25	1.60	2.65	2.90	9.70	
02264051	0115	19870115	20150115	29	1.23	1.49	0.03	5.40		0.06	0.10	0.26	0.38	0.41	0.50	0.56	0.64	0.67	0.71	0.81	0.88	0.96	1.10	1.15	1.30	2.25	5.10	5.30	
02264051	0116	19870116	20150116	29	1.07	1.59	0.03	7.70		0.05	0.09	0.19	0.38	0.42	0.49	0.54	0.55	0.56	0.59	0.67	0.73	0.80	0.81	0.95	1.10	1.35	2.50	6.40	
02264051	0117	19870117	20150117	29	1.12	1.76	0.04	9.30		0.06	0.07	0.20	0.37	0.38	0.44	0.47	0.50	0.61	0.68	0.70	0.81	0.82	0.93	1.10	1.20	1.60	2.10	6.70	
02264051	0118	19870118	20150118	29	1.04	1.42	0.05	7.50		0.05	0.10	0.20	0.29	0.37	0.38	0.50	0.51	0.62	0.70	0.81	0.91	0.92	0.94	1.10	1.10	1.45	2.50	5.30	
02264051	0119	19870119	20150119	29	0.75	0.53	0.06	2.40		0.07	0.10	0.20	0.31	0.36	0.38	0.44	0.73	0.75	0.76	0.80	0.81	0.90	0.91	0.94	1.00	1.00	1.70	2.10	
02264051	0120	19870120	20150120	29	0.74	0.74	0.05	4.20		0.06	0.10	0.28	0.35	0.38	0.38	0.42	0.57	0.63	0.69	0.71	0.75	0.77	0.80	0.84	0.96	1.00	1.20	2.70	
02264051	0121	19870121	20150121	29	1.04	1.51	0.05	6.80		0.09	0.16	0.23	0.37	0.38	0.38	0.49	0.50	0.59	0.69	0.69	0.72	0.74	0.87	0.95	1.10	1.15	2.20	6.25	
02264051	0122	19870122	20150122	29	2.05	5.06	0.05	23.00		0.07	0.16	0.20	0.38	0.38	0.45	0.51	0.51	0.65	0.65	0.68	0.74	0.83	0.93	1.05	1.20	1.70	2.40	20.00	
02264051	0123	19870123	20150123	29	1.49	3.17	0.05	17.00		0.07	0.11	0.24	0.37	0.39	0.50	0.55	0.62	0.65	0.66	0.73	0.85	0.86	0.93	1.05	1.10	1.55	3.50	11.20	
02264051	0124	19870124	20150124	29	1.02	1.08	0.05	4.60		0.07	0.08	0.36	0.44	0.49	0.50	0.57	0.65	0.66	0.67	0.78	0.88	0.90	0.92	1.07	1.20	1.70	2.00	4.55	
02264051	0125	19870125	20150125	29	1.35	2.10	0.04	11.00		0.06	0.08	0.27	0.38	0.46	0.48	0.53	0.64	0.70	0.76	0.84	0.97	0.97	1.20	1.30	1.40	2.10	3.10	7.85	
02264051	0126	19870126	20150126	29	1.16	1.52	0.04	7.00		0.06	0.10	0.26	0.37	0.41	0.50	0.50	0.53	0.67	0.74	0.78	0.84	0.97	1.10	1.15	1.20	1.55	3.60	6.00	
02264051	0127	19870127	20150127	29	1.09	1.54	0.04	8.10		0.07	0.15	0.28	0.38	0.43	0.50	0.54	0.58	0.61	0.65	0.71	0.82	0.94	1.00	1.10	1.20	1.50	2.00	6.05	
02264051	0128	19870128	20150128	29	0.71	0.45	0.04	2.10		0.07	0.11	0.23	0.38	0.39	0.51	0.53	0.57	0.62	0.65	0.66	0.73	0.84	0.92	0.98	1.00	1.05	1.20	1.85	
02264051	0129	19870129	20150129	29	0.70	0.40	0.04	1.70		0.07	0.10	0.30	0.38	0.40	0.50	0.56	0.58	0.64	0.66	0.69	0.75	0.81	0.92	0.94	0.95	1.10	1.40	1.55	
02264051	0130	19870130	20150130	29	1.16	1.62	0.03	8.30		0.06	0.10	0.34	0.38	0.45	0.50	0.61	0.66	0.66	0.67	0.71	0.84	0.85	0.90	1.20	1.20	1.75	2.60	6.30	
