site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p90	p95	p99
03301700	ALL	19980501	20110930	4170	61.92	150.85	1.00	2730.00	1.70	3.20	4.30	5.30	6.30	7.40	8.93	11.00	14.00	17.00	21.00	25.00	30.00	36.00	43.00	52.00	66.00	132.00	253.45	729.77
03301700	0101	19990101	20110101	11	158.75	255.85	4.20	836.00			5.56	9.64	14.60	20.00	23.00	25.00	25.00	27.00	30.00	55.80	84.40	118.60	145.20	168.00	321.60	753.60		
03301700	0102	19990102	20110102	11	117.93	138.77	5.20	405.00			6.36	9.84	14.60	20.00	21.20	23.40	27.60	45.00	69.00	75.00	81.40	88.60	163.80	273.00	285.00	382.60		
03301700	0103	19990103	20110103	11	179.82	274.52	10.00	974.00			12.20	18.80	27.40	37.00	38.80	43.40	53.60	63.40	73.00	125.80	165.60	179.40	191.60	203.00	212.00	822.80		
03301700	0104	19990104	20110104	11	160.91	266.15	10.00	934.00			12.00	18.00	24.00	30.00	33.00	40.20	55.80	64.60	70.00	80.20	94.80	118.20	130.80	138.00	210.60	799.00		
03301700	0105	19990105	20110105	11	115.24	115.25	9.60	319.00			11.48	17.12	20.60	23.00	24.80	29.60	40.40	47.20	52.00	82.00	110.60	136.40	191.40	261.00	264.60	308.60		
03301700	0106	19990106	20110106	11	100.11	127.88	9.20	457.00			10.96	16.24	19.20	21.00	21.00	24.40	34.60	48.40	64.00	73.60	88.20	112.80	125.00	131.00	137.00	393.80		
03301700	0107	19990107	20110107	11	88.89	91.60	8.80	273.00			10.24	14.56	16.80	18.00	19.80	21.00	21.00	38.60	65.00	70.40	78.60	92.40	122.60	161.00	198.20	263.00		
03301700	0108	19990108	20110108	11	106.69	129.25	8.60	433.00			9.68	12.92	14.40	15.00	16.80	24.80	45.20	55.20	60.00	70.80	79.20	82.80	130.40	200.00	206.60	388.60		
03301700	0109	19990109	20110109	11	95.12	135.22	8.30	466.00			9.04	11.26	12.40	13.00	15.40	22.20	37.80	45.80	50.00	52.40	56.40	63.60	88.40	122.00	165.80	411.80		
