site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p99
02308870	ALL	19990801	20151020	5925	5.52	17.16	0.00	500.00	0.02	0.10	0.24	0.30	0.41	0.50	0.59	0.79	0.98	1.20	1.50	1.90	2.30	2.70	3.30	4.15	5.30	7.70	11.00	21.00	69.74
02308870	0101	20000101	20150101	16	5.42	15.51	0.30	63.00			0.32	0.38	0.46	0.53	0.54	0.55	0.58	0.60	0.61	0.69	0.84	1.00	1.63	2.83	3.56	6.05	25.06		
02308870	0102	20000102	20150102	16	2.94	4.16	0.29	15.00			0.30	0.37	0.42	0.42	0.43	0.48	0.52	0.57	0.70	0.99	1.74	3.50	3.59	4.28	4.74	7.20	11.50		
02308870	0103	20000103	20150103	16	2.10	2.65	0.21	10.00			0.27	0.31	0.37	0.44	0.50	0.58	0.60	0.61	0.71	0.98	1.48	2.23	2.65	3.15	3.66	4.75	7.06		
02308870	0104	20000104	20150104	16	1.77	2.01	0.21	7.80			0.27	0.30	0.36	0.46	0.48	0.58	0.68	0.78	0.83	0.92	1.32	2.20	2.20	2.80	3.42	3.70	4.93		
02308870	0105	20000105	20150105	16	1.52	1.72	0.26	6.60			0.29	0.33	0.39	0.46	0.48	0.58	0.68	0.72	0.77	0.82	0.88	1.04	1.81	2.58	2.80	3.25	4.64		
02308870	0106	20000106	20150106	16	2.07	2.28	0.28	8.20			0.38	0.42	0.42	0.46	0.60	0.66	0.72	0.73	0.79	0.90	1.34	2.71	2.88	3.42	4.02	4.75	6.17		
02308870	0107	20000107	20150107	16	1.68	1.58	0.29	4.80			0.35	0.40	0.42	0.42	0.45	0.53	0.67	0.78	0.91	1.14	1.52	2.01	2.18	2.73	3.38	4.20	4.80		
02308870	0108	20000108	20150108	16	1.91	2.13	0.30	8.00			0.36	0.41	0.42	0.42	0.42	0.43	0.48	0.76	0.95	1.14	1.50	1.94	2.71	3.17	3.72	4.18	5.48		
02308870	0109	20000109	20150109	16	1.56	1.50	0.29	4.80			0.38	0.42	0.42	0.42	0.44	0.58	0.63	0.65	0.69	0.82	1.12	1.65	2.41	2.88	3.18	3.71	4.38		
02308870	0110	20000110	20150110	16	1.58	1.47	0.30	4.90			0.34	0.38	0.41	0.42	0.44	0.58	0.72	0.78	0.81	1.02	1.56	2.20	2.20	2.20	2.92	3.76	4.41		
02308870	0111	20000111	20150111	16	1.73	1.60	0.30	5.20			0.30	0.33	0.36	0.44	0.66	0.66	0.77	0.82	1.06	1.41	1.64	1.81	1.89	2.95	3.66	4.12	4.64		
02308870	0112	20000112	20150112	16	1.90	1.77	0.30	5.80			0.30	0.33	0.38	0.44	0.54	0.76	0.79	1.06	1.25	1.33	1.52	2.06	2.99	3.17	3.86	4.48	5.03		
02308870	0113	20000113	20150113	16	2.20	2.52	0.30	9.40			0.36	0.41	0.42	0.42	0.43	0.47	0.51	0.75	1.09	1.41	1.70	2.17	3.27	3.77	4.38	4.83	6.32		
02308870	0114	20000114	20150114	16	2.78	3.64	0.30	15.00			0.30	0.31	0.34	0.38	0.43	0.52	1.14	1.43	1.60	1.94	2.54	3.15	3.91	4.15	4.32	4.54	7.79		
02308870	0115	20000115	20150115	16	1.90	2.17	0.17	7.90			0.23	0.28	0.36	0.45	0.49	0.58	0.78	0.85	1.08	1.30	1.36	1.60	1.60	3.02	4.04	4.58	5.73		
02308870	0116	20000116	20150116	16	2.01	2.69	0.23	10.00			0.24	0.26	0.35	0.48	0.50	0.55	0.61	0.74	0.80	0.97	1.30	1.30	1.39	2.90	3.88	5.01	7.20		
02308870	0117	20000117	20150117	16	5.36	10.07	0.34	38.00			0.35	0.38	0.45	0.59	0.71	0.79	0.80	0.93	1.10	1.23	1.70	3.31	3.57	3.75	7.28	14.28	25.40		
02308870	0118	20000118	20150118	16	3.10	3.53	0.38	14.00			0.41	0.47	0.62	0.79	0.82	0.99	1.16	1.40	1.65	2.25	3.12	3.21	3.38	4.67	5.40	6.14	8.96		
02308870	0119	20000119	20150119	16	2.50	1.95	0.30	5.90			0.38	0.42	0.57	0.81	0.86	0.97	1.24	1.56	1.90	2.42	3.08	3.42	3.76	4.33	4.80	5.22	5.62		
