site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p99
05484500	ALL	19151001	20160328	36705	1675.54	2824.71	10.00	57500.00	45.00	86.00	123.00	164.00	200.00	243.00	293.00	355.00	438.00	532.00	651.00	800.00	979.00	1200.00	1480.00	1840.00	2320.00	3080.00	4270.00	6790.00	14000.00
05484500	0101	19160101	20160101	101	701.03	1357.75	40.00	10200.00	40.10	58.20	70.20	89.30	101.20	114.50	146.80	190.50	210.00	240.00	273.00	320.50	350.00	420.00	544.00	675.00	860.00	1064.00	1706.00	3425.00	10128.20
05484500	0102	19160102	20160102	101	639.98	1038.65	37.00	6080.00	37.16	62.00	70.00	89.30	100.00	110.00	149.80	188.20	218.00	239.50	266.00	325.50	384.00	453.00	512.00	650.00	936.00	1050.00	1452.00	2660.00	6075.80
05484500	0103	19160103	20160103	101	619.92	957.12	34.00	5780.00	34.22	62.00	71.00	90.90	100.00	110.00	156.00	200.50	218.00	239.00	270.00	316.00	374.80	446.00	520.00	620.00	873.20	1068.00	1500.00	2488.00	5762.60
05484500	0104	19160104	20160104	101	602.03	930.42	31.00	5510.00	31.14	59.70	70.00	85.50	100.00	119.00	170.00	207.00	228.00	249.90	280.00	310.00	330.00	460.50	522.00	610.00	759.40	1143.00	1342.00	2620.00	5507.20
05484500	0105	19160105	20160105	101	646.85	1088.92	28.00	7680.00	28.14	60.30	70.00	81.60	98.40	120.00	178.00	193.50	221.60	249.00	270.00	300.00	352.80	460.00	528.00	624.00	836.60	1149.00	1448.00	3178.00	7626.60
05484500	0106	19160106	20160106	101	621.73	1044.65	25.00	7030.00	25.16	60.10	72.60	89.30	100.00	114.00	176.00	190.00	219.20	239.50	273.00	305.50	361.60	457.80	524.00	585.00	730.00	1009.80	1406.00	2900.00	6984.20
05484500	0107	19160107	20160107	101	592.13	953.03	23.00	6120.00	23.20	56.40	75.20	89.00	101.60	130.50	170.00	190.00	211.60	239.60	280.00	308.20	360.60	440.00	490.00	553.50	724.00	1005.60	1358.00	2642.00	6092.20
05484500	0108	19160108	20160108	101	571.46	833.35	20.00	4990.00	20.24	59.00	74.20	90.00	100.00	132.50	173.00	190.70	210.00	240.00	270.00	300.00	356.60	453.00	500.00	555.00	760.00	993.40	1326.00	2878.00	4966.20
05484500	0109	19160109	20160109	101	542.32	754.11	19.00	5310.00	19.26	54.40	70.40	90.20	100.00	142.50	180.00	199.70	218.00	235.90	260.00	299.50	372.00	436.00	520.00	600.00	792.00	943.90	1316.00	2128.00	5261.40
05484500	0110	19160110	20160110	101	524.73	707.92	18.00	4550.00	18.30	50.40	70.00	89.00	100.00	131.50	183.00	200.00	220.00	240.00	264.00	299.10	340.00	401.20	520.00	605.00	744.00	986.50	1282.00	2090.00	4521.80
