site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p99
01472157	ALL	19681001	20151108	17205	92.01	142.14	7.10	4530.00	12.00	17.00	21.00	25.00	28.00	32.00	37.00	42.00	47.00	53.00	59.00	65.00	72.00	80.00	90.00	102.00	116.00	137.00	173.00	256.00	628.94
01472157	0101	19690101	20150101	47	113.91	139.40	16.00	838.00		17.40	31.00	40.20	42.20	48.00	50.80	55.80	60.20	67.20	70.00	76.40	89.80	97.40	117.60	136.00	139.80	156.00	196.40	441.40	
01472157	0102	19690102	20150102	47	105.57	103.79	16.00	626.00		16.40	34.80	37.20	42.20	48.00	50.20	61.20	65.00	66.20	75.00	85.80	103.60	113.00	115.80	123.00	130.20	136.80	216.00	330.00	
01472157	0103	19690103	20150103	47	101.98	105.22	14.00	619.00		16.20	34.40	37.80	42.20	46.00	51.40	54.80	57.20	61.80	65.00	75.20	84.20	103.00	109.60	116.00	130.20	143.40	202.20	352.80	
01472157	0104	19690104	20150104	47	103.15	104.52	13.00	665.00		16.60	30.80	38.80	43.20	47.00	47.40	52.00	56.20	61.60	65.00	88.80	94.00	103.80	121.60	132.00	136.40	164.80	182.60	281.60	
01472157	0105	19690105	20150105	47	97.85	80.26	15.00	486.00		16.60	31.80	37.60	40.60	45.00	48.80	54.60	62.20	66.80	74.00	84.60	103.40	109.60	117.80	125.00	144.00	158.00	189.80	224.40	
01472157	0106	19690106	20150106	47	90.60	71.51	15.00	384.00		17.60	31.40	36.00	38.80	41.00	45.20	52.00	62.00	65.60	70.00	82.60	88.60	101.00	105.00	111.00	131.20	137.00	174.40	273.60	
01472157	0107	19690107	20150107	47	88.09	58.78	17.00	303.00		27.60	30.00	35.80	40.00	42.00	50.00	56.00	62.00	66.00	80.00	84.20	98.80	101.20	105.40	116.00	118.00	129.20	148.00	243.00	
01472157	0108	19690108	20150108	47	110.06	145.74	15.00	927.00		25.40	32.00	37.00	42.80	49.00	53.80	57.60	62.20	65.60	75.00	81.20	90.00	100.60	108.00	110.00	121.00	127.40	208.00	413.60	
01472157	0109	19690109	20150109	47	104.70	127.09	13.00	862.00		22.80	31.60	39.20	41.60	48.00	51.40	55.60	60.60	64.60	76.00	84.40	95.60	100.40	103.60	109.00	123.80	148.80	210.80	267.20	
01472157	0110	19690110	20150110	47	84.34	45.57	12.00	213.00		30.40	31.80	39.40	46.20	50.00	53.80	55.80	65.60	71.60	77.00	81.40	93.20	95.40	98.60	106.00	118.40	123.80	160.20	187.20	
01472157	0111	19690111	20150111	47	96.09	66.05	12.00	379.00		30.40	33.80	40.20	43.20	50.00	53.40	59.00	65.20	73.20	90.00	93.40	99.00	105.80	112.80	117.00	126.00	150.00	194.20	216.60	
01472157	0112	19690112	20150112	47	107.06	102.64	13.00	492.00		29.40	34.20	37.60	41.80	52.00	54.80	61.60	67.60	72.80	75.00	85.40	87.80	88.80	95.80	110.00	123.80	164.60	254.80	416.00	
01472157	0113	19690113	20150113	47	83.30	47.62	13.00	221.00		28.00	33.00	39.20	41.20	45.00	48.80	56.40	61.00	65.60	69.00	72.80	89.20	99.60	106.20	114.00	122.40	131.00	156.80	188.20	
01472157	0114	19690114	20150114	47	105.77	150.36	13.00	1030.00		26.40	32.60	38.20	42.80	45.00	51.80	54.00	59.00	64.80	68.00	73.60	81.00	85.60	97.40	109.00	123.60	140.40	211.00	284.00	
01472157	0115	19690115	20150115	47	87.13	61.50	14.00	389.00		26.80	29.80	39.20	45.80	49.00	52.40	58.00	60.60	67.60	74.00	78.00	84.00	91.00	96.80	116.00	117.00	140.40	154.40	185.80	
01472157	0116	19690116	20150116	47	88.15	61.68	14.00	312.00		25.80	30.60	39.00	43.80	47.00	48.40	49.80	58.00	60.60	69.00	73.80	85.60	104.00	105.00	114.00	121.20	132.60	173.20	235.20	
01472157	0117	19690117	20150117	47	78.98	50.33	14.00	270.00		24.40	33.60	38.00	40.60	42.00	46.40	49.40	57.00	57.60	64.00	73.60	79.80	84.20	96.00	98.00	109.40	130.60	140.60	195.00	
01472157	0118	19690118	20150118	47	100.21	89.72	14.00	398.00		23.40	31.80	38.20	41.80	46.00	53.80	55.80	67.40	70.80	78.00	82.40	91.00	92.40	97.40	109.00	135.60	144.80	177.60	388.40	
01472157	0119	19690119	20150119	47	153.77	389.39	13.00	2730.00		24.00	35.80	38.80	46.60	52.00	55.80	62.00	70.20	76.20	83.00	87.60	97.80	101.20	112.20	127.00	141.20	199.80	221.20	277.80	
01472157	0120	19690120	20150120	47	114.43	114.96	14.00	536.00		24.80	32.20	38.40	43.80	50.00	52.00	59.80	65.40	72.60	75.00	80.60	89.00	102.20	113.00	120.00	138.00	189.60	278.80	450.80	
01472157	0121	19690121	20150121	47	118.23	219.79	13.00	1540.00		23.80	27.60	38.20	40.60	47.00	50.00	50.80	56.20	66.40	73.00	78.80	81.80	103.20	110.00	125.00	130.40	150.20	226.60	238.40	
01472157	0122	19690122	20150122	47	89.79	79.92	13.00	535.00		23.00	26.00	36.40	39.80	46.00	52.60	57.60	60.40	70.20	77.00	85.20	89.60	100.00	103.60	106.00	111.60	123.60	146.00	217.40	
01472157	0123	19690123	20150123	47	92.66	73.12	13.00	375.00		24.40	25.00	36.00	41.20	45.00	55.00	59.20	70.40	74.80	79.00	81.80	85.00	95.00	95.00	99.00	113.00	142.00	185.80	297.60	
01472157	0124	19690124	20150124	47	148.19	340.49	13.00	2370.00		25.40	35.00	43.00	44.20	50.00	56.00	63.00	64.80	70.20	79.00	81.80	92.40	94.00	98.00	116.00	141.20	187.80	262.20	362.00	
01472157	0125	19690125	20150125	47	151.36	256.34	13.00	1620.00		28.80	35.00	42.60	47.60	54.00	60.00	63.00	67.60	72.60	80.00	80.80	91.60	94.00	112.40	142.00	150.80	164.80	320.60	642.80	
01472157	0126	19690126	20150126	47	154.55	304.05	12.00	2050.00		28.60	34.40	40.00	46.40	49.00	54.60	60.40	66.40	73.40	78.00	86.00	89.80	101.00	109.60	120.00	140.80	219.80	366.80	501.80	
