site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p99
02053500	ALL	19631001	20151028	18656	59.61	164.37	0.59	7710.00	2.00	3.00	4.10	5.30	6.20	7.20	8.50	9.80	12.00	14.00	17.00	20.00	25.00	30.00	38.00	47.00	62.00	84.00	126.00	248.00	708.86
02053500	0101	19640101	20150101	51	57.86	70.62	2.90	339.00		4.48	8.14	9.20	10.40	12.00	14.60	17.60	21.00	24.00	29.00	36.20	40.20	53.80	74.00	86.00	97.80	113.40	123.20	248.40	
02053500	0102	19640102	20150102	51	63.61	77.90	2.90	407.00		4.56	7.76	9.58	10.74	13.00	18.00	21.20	24.00	27.00	33.00	37.20	50.60	65.40	76.20	87.00	97.00	131.60	163.20	230.40	
02053500	0103	19640103	20150103	51	71.90	112.14	2.90	713.00		5.68	8.58	10.80	12.40	14.00	16.00	20.00	22.60	30.20	41.00	46.20	55.20	65.60	69.60	80.00	99.40	111.40	161.00	277.20	
02053500	0104	19640104	20150104	51	75.05	104.61	2.80	471.00		6.18	8.26	10.76	13.80	15.00	17.20	19.40	25.60	29.60	39.00	44.60	50.40	53.80	74.00	83.00	90.60	122.20	206.40	395.40	
02053500	0105	19640105	20150105	51	62.26	73.80	2.60	400.00		5.62	8.10	10.76	12.20	16.00	21.00	27.20	33.00	35.60	40.00	46.40	54.00	60.40	65.40	67.00	88.40	100.00	143.80	241.00	
02053500	0106	19640106	20150106	51	53.41	60.16	2.40	357.00		7.92	10.20	11.00	13.40	17.00	20.20	26.40	30.80	33.40	35.00	43.00	44.40	50.60	55.20	69.00	73.40	81.00	128.20	186.60	
02053500	0107	19640107	20150107	51	51.87	45.83	6.90	200.00		8.86	10.20	11.80	15.00	17.00	24.00	25.60	30.00	32.20	39.00	41.20	44.20	49.20	52.60	68.00	85.60	108.20	123.80	156.00	
02053500	0108	19640108	20150108	51	86.42	149.06	6.80	895.00		8.18	10.20	12.00	13.80	21.00	23.00	27.20	29.60	33.00	37.00	40.20	52.60	59.20	68.60	83.00	104.40	127.40	173.00	441.60	
02053500	0109	19640109	20150109	51	110.28	209.04	6.40	1200.00		7.82	10.00	11.00	12.40	16.00	18.60	24.20	27.60	29.80	32.00	35.80	53.60	67.00	74.40	97.00	133.80	192.40	293.20	609.60	
02053500	0110	19640110	20150110	51	94.06	135.63	6.20	645.00		7.70	9.10	10.00	11.40	14.00	21.80	23.60	29.20	32.20	39.00	40.60	53.20	65.80	79.00	103.00	120.20	201.00	308.20	442.60	
02053500	0111	19640111	20150111	51	87.69	107.93	6.10	498.00		7.88	9.08	10.72	12.00	13.00	21.60	25.60	28.80	36.80	43.00	49.20	63.80	77.00	107.00	128.00	141.60	168.80	267.40	354.00	
02053500	0112	19640112	20150112	51	80.00	78.69	5.70	320.00		7.16	9.08	9.84	11.40	21.00	23.20	27.00	33.60	42.40	53.00	64.60	70.60	84.20	105.80	127.00	152.00	168.40	198.80	257.20	
02053500	0113	19640113	20150113	51	100.15	144.76	5.60	615.00		6.92	8.88	9.80	14.40	20.00	24.20	27.20	29.80	39.20	52.00	56.00	61.00	77.00	91.20	114.00	118.80	198.20	292.40	580.80	
02053500	0114	19640114	20150114	51	130.43	272.14	6.00	1700.00		6.40	8.44	9.60	14.80	20.00	23.60	25.20	38.20	45.40	53.00	54.00	58.00	64.00	84.60	90.00	118.80	212.60	325.00	658.80	
02053500	0115	19640115	20150115	51	112.36	179.80	5.00	1000.00		6.32	8.30	9.00	12.40	17.00	22.20	29.80	38.60	46.40	52.00	54.60	60.20	71.80	89.80	109.00	142.60	230.00	312.60	534.40	
02053500	0116	19640116	20150116	51	87.82	108.01	5.50	500.00		7.16	8.64	11.60	14.40	18.00	21.80	28.00	38.60	43.80	48.00	58.00	61.40	80.80	98.20	113.00	141.60	167.20	218.00	414.80	
02053500	0117	19640117	20150117	51	72.18	84.64	5.30	432.00		7.30	9.52	11.00	12.40	19.00	23.60	33.00	35.00	41.40	48.00	50.80	57.20	63.80	80.20	87.00	109.40	124.40	143.80	311.20	
02053500	0118	19640118	20150118	51	87.45	96.13	5.30	437.00		6.52	11.00	11.00	19.00	25.00	32.40	36.60	40.00	44.80	61.00	62.00	75.20	78.80	89.60	115.00	145.60	175.60	200.60	337.60	
02053500	0119	19640119	20150119	51	103.55	149.24	6.00	876.00		8.24	12.20	15.80	19.40	28.00	29.60	34.00	39.00	54.40	58.00	67.40	71.00	77.00	87.00	110.00	125.80	207.00	282.20	431.00	
02053500	0120	19640120	20150120	51	111.04	188.30	6.10	1080.00		8.50	14.20	16.80	24.20	28.00	30.00	35.20	45.80	52.60	61.00	67.20	69.20	77.60	85.20	111.00	130.40	187.60	224.00	564.00	
02053500	0121	19640121	20150121	51	107.69	175.79	7.70	818.00		8.26	14.20	17.00	21.80	25.00	30.00	39.20	42.00	48.40	59.00	65.00	69.00	80.60	92.20	98.00	112.40	130.00	173.80	687.00	
02053500	0122	19640122	20150122	51	104.54	171.31	6.70	767.00		11.60	13.40	17.00	22.40	24.00	28.80	35.20	38.40	41.40	57.00	64.60	70.40	75.20	78.40	88.00	99.60	151.00	223.40	726.60	
02053500	0123	19640123	20150123	51	99.11	158.48	6.90	985.00		10.56	15.00	17.80	22.40	27.00	30.80	36.40	38.80	47.00	52.00	53.60	58.20	60.00	69.40	72.00	119.20	183.00	270.00	407.60	
02053500	0124	19640124	20150124	51	99.29	131.13	6.20	575.00		10.48	11.60	17.80	21.40	24.00	27.40	38.00	39.80	44.60	49.00	55.20	58.20	66.80	82.40	94.00	116.20	197.60	368.40	436.40	
02053500	0125	19640125	20150125	51	118.56	144.04	6.00	669.00		9.76	10.40	15.80	18.80	22.00	27.20	35.00	40.60	47.00	49.00	55.40	67.40	79.80	129.80	190.00	252.20	280.20	361.80	409.00	
02053500	0126	19640126	20150126	51	108.88	138.09	8.50	526.00		9.76	11.60	16.80	22.00	25.00	31.60	37.20	44.80	48.00	50.00	53.00	56.60	75.00	104.80	135.00	156.60	276.60	324.60	512.00	
02053500	0127	19640127	20150127	51	91.51	97.18	7.90	437.00		9.64	11.40	15.80	23.80	30.00	35.20	38.40	41.00	42.80	44.00	46.80	77.60	89.20	96.80	111.00	171.60	188.40	243.00	334.00	
02053500	0128	19640128	20150128	51	100.10	165.36	7.60	843.00		9.36	11.20	14.80	23.20	27.00	31.00	36.00	38.00	40.40	54.00	65.80	71.20	77.00	86.20	103.00	111.00	135.20	183.20	563.80	
02053500	0129	19640129	20150129	51	97.62	168.26	7.30	852.00		9.34	11.60	16.80	26.00	27.00	30.00	31.20	34.80	38.40	44.00	52.80	57.00	67.60	77.40	89.00	103.80	118.40	156.60	600.20	
02053500	0130	19640130	20150130	51	79.16	109.12	6.70	669.00		9.32	11.80	19.20	24.40	28.00	29.00	30.60	38.40	42.40	46.00	50.00	59.20	64.20	71.60	78.00	88.60	120.40	217.00	304.40	
02053500	0131	19640131	20150131	51	84.19	121.03	6.40	669.00		9.70	15.00	20.40	23.40	25.00	29.60	34.40	39.40	41.80	45.00	54.20	57.20	61.60	66.80	70.00	126.60	144.80	176.00	370.40	
02053500	0201	19640201	20150201	51	71.27	91.63	6.30	596.00		11.56	16.40	19.80	20.40	22.00	28.00	33.00	40.40	44.80	46.00	50.00	57.40	61.00	63.40	69.00	103.00	114.60	148.80	232.80	
02053500	0202	19640202	20150202	51	100.34	148.80	9.30	691.00		10.60	16.20	18.80	19.40	28.00	31.40	37.00	37.00	40.00	42.00	52.60	59.60	69.20	75.60	83.00	102.80	176.00	299.40	522.80	
02053500	0203	19640203	20150203	51	130.35	216.67	8.70	919.00		12.20	15.40	17.00	23.80	26.00	31.80	34.00	34.80	39.40	48.00	57.20	66.40	72.80	86.40	106.00	146.00	205.80	378.60	822.80	
