site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p99
06306250	ALL	19701001	20151028	8946	33.87	52.47	0.11	3090.00	1.20	6.80	9.67	11.00	13.00	15.00	16.00	18.00	20.00	22.00	24.00	27.00	29.00	32.00	36.00	40.00	44.00	50.00	60.00	82.00	207.06
06306250	0101	19710101	20150101	24	15.39	5.67	9.00	31.00		9.10	9.70	10.00	10.00	11.00	11.50	12.00	12.00	13.00	13.50	14.00	16.00	16.50	18.50	19.75	20.00	22.00	23.50	29.50	
06306250	0102	19710102	20150102	24	15.11	4.96	8.00	27.00		8.40	9.80	10.00	10.00	11.00	11.00	12.50	13.00	13.00	14.00	15.00	16.00	17.00	17.50	18.75	21.00	21.00	22.00	26.00	
06306250	0103	19710103	20150103	24	15.24	4.54	8.80	24.00		9.10	10.00	10.00	10.00	11.25	12.00	12.00	13.00	13.25	14.50	15.75	16.00	18.00	19.00	20.00	20.00	20.25	21.50	23.50	
06306250	0104	19710104	20150104	24	14.71	4.12	8.60	22.00		8.70	9.25	9.88	10.00	11.25	12.00	12.75	13.00	13.25	14.50	15.00	16.00	16.25	17.00	18.50	19.00	20.25	21.00	21.75	
06306250	0105	19710105	20150105	24	14.95	4.82	7.00	23.00		7.35	8.70	9.30	10.00	11.00	11.50	12.00	13.00	13.00	14.50	16.00	16.00	18.00	18.50	19.75	20.00	21.00	21.50	22.75	
06306250	0106	19710106	20150106	24	15.13	5.08	8.00	24.00		8.05	8.35	9.18	10.00	10.25	11.00	11.75	12.00	14.00	14.50	16.50	17.00	18.25	19.50	20.00	20.00	21.25	22.00	23.50	
06306250	0107	19710107	20150107	24	14.86	4.65	8.00	23.00		8.10	8.70	9.15	10.00	10.25	11.50	12.00	12.00	13.50	15.50	16.00	17.00	17.25	18.00	19.50	20.00	20.25	21.00	22.50	
06306250	0108	19710108	20150108	24	14.61	4.51	8.00	25.00		8.15	8.80	9.75	10.00	11.00	11.50	12.00	12.00	13.50	15.00	15.00	15.00	16.25	17.50	18.00	18.00	19.50	21.50	24.25	
06306250	0109	19710109	20150109	24	14.54	4.59	8.00	24.00		8.00	8.50	9.75	11.00	11.00	11.50	12.00	12.00	12.25	14.00	15.00	15.00	16.25	17.50	18.00	19.00	19.25	22.00	24.00	
06306250	0110	19710110	20150110	24	14.63	4.88	7.80	25.00		7.85	8.70	9.85	10.00	10.00	10.00	11.50	12.00	13.00	14.00	15.75	16.00	18.00	18.00	18.00	19.00	20.00	21.50	24.50	
06306250	0111	19710111	20150111	24	14.60	5.04	7.60	26.00		7.70	8.50	9.00	9.20	9.70	10.00	10.75	11.00	14.25	15.50	16.00	17.00	17.25	18.00	18.75	19.00	20.00	20.50	24.75	
06306250	0112	19710112	20150112	24	14.92	5.72	7.00	28.00		7.15	8.00	8.85	10.00	10.00	10.50	11.00	12.00	13.50	15.00	15.75	17.00	17.00	17.50	18.00	19.00	20.50	24.50	27.75	
06306250	0113	19710113	20150113	24	15.44	6.16	7.40	33.00		7.50	8.10	9.60	10.00	10.25	11.50	12.00	12.00	14.25	15.50	16.75	17.00	17.00	17.50	18.00	19.00	20.25	24.50	31.75	
06306250	0114	19710114	20150114	24	14.83	5.23	7.20	28.00		7.30	7.90	9.55	10.00	11.00	11.50	12.00	13.00	13.25	14.50	15.00	15.00	17.00	17.00	17.75	19.00	21.00	22.50	27.00	
06306250	0115	19710115	20150115	24	14.78	5.08	7.40	28.00		7.60	8.70	9.80	11.00	11.00	11.00	11.00	12.00	13.00	13.50	15.50	16.00	17.25	18.00	18.00	19.00	19.50	22.00	26.75	
06306250	0116	19710116	20150116	24	16.55	8.66	7.70	50.00		7.92	9.30	10.00	11.00	11.25	12.00	12.00	13.00	13.50	15.00	15.75	16.00	17.25	18.00	18.75	21.00	21.50	25.50	44.50	
06306250	0117	19710117	20150117	24	18.53	17.94	8.20	100.00		8.30	9.30	10.75	11.00	12.00	12.00	12.00	13.00	13.50	15.00	15.75	16.00	17.00	17.50	18.75	20.00	20.25	24.50	82.00	
06306250	0118	19710118	20150118	24	18.49	15.98	8.00	90.00		8.20	8.90	9.75	11.00	12.00	12.50	13.00	14.00	14.25	15.50	16.75	17.00	17.00	17.50	19.50	20.00	21.50	25.50	74.50	
06306250	0119	19710119	20150119	24	18.27	13.11	9.00	75.00		9.10	9.70	10.00	10.00	11.00	11.50	13.50	14.00	14.50	16.00	17.50	18.00	19.00	19.00	19.75	20.00	22.00	26.50	63.25	
06306250	0120	19710120	20150120	24	17.68	10.53	8.00	60.00		8.25	9.20	9.85	11.00	11.25	12.00	12.00	12.00	14.50	16.00	16.75	19.00	19.00	19.50	20.75	21.00	23.00	27.00	52.00	
06306250	0121	19710121	20150121	24	16.73	7.36	8.20	40.00		8.47	9.65	10.00	10.00	11.00	11.50	12.00	12.00	15.00	15.50	16.75	18.00	18.25	19.00	19.75	22.00	24.25	26.50	37.00	
06306250	0122	19710122	20150122	24	16.15	5.70	8.60	28.00		8.70	9.10	9.65	11.00	11.00	11.50	12.00	13.00	16.00	16.00	16.75	17.00	18.00	18.00	20.25	23.00	23.50	25.00	27.25	
06306250	0123	19710123	20150123	24	16.56	6.23	8.40	28.00		8.40	8.70	9.45	10.00	10.75	13.00	13.00	13.00	13.50	15.50	16.00	18.00	20.00	21.00	22.00	25.00	25.00	25.00	27.25	
06306250	0124	19710124	20150124	24	16.50	6.22	8.80	26.00		8.85	9.30	9.60	10.00	10.25	11.00	11.75	14.00	14.00	14.50	15.75	20.00	21.00	21.50	22.00	25.00	25.00	25.00	25.75	
06306250	0125	19710125	20150125	24	16.91	6.99	8.80	30.00		8.85	9.30	9.60	9.80	10.00	10.50	11.75	13.00	14.25	15.50	16.75	18.00	20.25	22.00	23.75	24.00	25.25	28.00	30.00	
06306250	0126	19710126	20150126	24	16.27	6.37	8.00	27.00		8.15	9.00	9.55	10.00	10.00	10.50	11.75	13.00	14.00	14.50	15.75	18.00	20.00	21.00	23.50	24.00	25.00	25.00	26.50	
06306250	0127	19710127	20150127	24	15.66	6.04	8.00	27.00		8.05	8.60	9.00	9.00	9.70	11.00	12.75	13.00	13.25	14.00	14.75	18.00	18.25	19.50	20.75	22.00	24.25	25.00	26.50	
06306250	0128	19710128	20150128	24	15.45	6.24	8.20	30.00		8.30	8.80	9.00	9.00	10.25	11.00	11.75	12.00	13.00	13.50	14.00	16.00	19.00	19.00	19.75	21.00	21.75	26.00	29.50	
06306250	0129	19710129	20150129	24	15.78	6.42	7.40	30.00		7.60	8.30	8.85	9.00	10.10	11.50	12.75	13.00	13.25	14.50	15.75	16.00	19.00	19.50	20.00	21.00	22.00	27.00	29.75	
06306250	0130	19710130	20150130	24	15.99	6.69	7.60	32.00		7.70	8.30	8.90	9.60	11.00	11.50	12.75	13.00	14.00	14.50	15.75	17.00	17.25	18.50	19.75	20.00	23.25	28.50	31.50	
06306250	0131	19710131	20150131	24	15.88	6.30	8.00	35.00		8.10	8.70	9.00	9.80	12.00	12.00	12.75	13.00	13.25	14.50	15.75	17.00	18.25	19.00	19.00	20.00	22.25	24.00	32.50	
06306250	0201	19710201	20150201	24	15.95	6.65	7.80	37.00		8.10	9.00	9.75	11.00	12.00	12.00	12.00	12.00	13.50	15.00	15.75	16.00	17.00	17.50	18.75	20.00	22.25	25.50	34.75	
06306250	0202	19710202	20150202	24	16.34	7.09	7.20	36.00		7.65	9.00	9.00	10.00	11.00	11.50	12.00	13.00	14.00	14.50	15.75	18.00	19.00	19.00	19.75	21.00	23.50	27.50	34.50	
06306250	0203	19710203	20150203	24	16.68	6.81	7.80	33.00		8.00	8.80	9.60	10.00	10.25	11.50	12.75	14.00	15.00	15.50	16.75	18.00	19.25	20.50	21.00	21.00	23.75	28.00	32.25	
06306250	0204	19710204	20150204	24	16.94	7.98	8.60	40.00		8.70	9.20	9.55	10.00	10.25	11.00	11.00	12.00	15.00	15.00	15.75	16.00	18.75	21.50	22.00	24.00	24.50	28.50	37.75	
06306250	0205	19710205	20150205	24	16.88	7.02	9.00	34.00		9.10	9.40	9.40	10.00	10.25	11.00	11.75	14.00	15.00	15.50	16.00	18.00	19.50	21.00	22.50	23.00	23.75	28.00	33.00	
06306250	0206	19710206	20150206	24	16.81	6.83	8.60	30.00		8.60	8.80	9.30	9.90	10.00	11.00	12.75	13.00	14.25	15.50	16.75	17.00	21.25	22.00	22.75	24.00	25.00	27.00	29.75	
06306250	0207	19710207	20150207	24	15.95	6.16	8.40	28.00		8.50	8.80	8.95	9.80	10.00	11.00	12.00	13.00	14.00	14.00	14.75	17.00	20.00	20.50	21.75	23.00	23.50	25.00	27.25	
06306250	0208	19710208	20150208	24	15.70	6.16	8.00	32.00		8.10	8.50	9.05	9.70	9.85	11.00	12.00	12.00	13.50	15.50	16.00	18.00	18.50	20.00	20.00	20.00	22.00	23.50	30.25	
06306250	0209	19710209	20150209	24	16.53	7.58	7.80	40.00		7.90	8.80	9.40	9.90	10.00	10.50	11.75	13.00	13.25	14.50	17.25	18.00	18.50	20.50	21.75	23.00	24.25	25.00	36.25	
06306250	0210	19710210	20150210	24	18.12	10.99	8.40	50.00		8.55	9.00	9.00	9.60	10.00	10.50	11.00	13.00	13.25	14.50	15.75	17.00	19.50	21.00	21.75	24.00	28.50	37.50	48.75	
06306250	0211	19710211	20150211	24	20.96	18.34	8.00	90.00		8.20	9.20	9.75	9.80	10.00	11.00	12.00	12.00	13.50	15.00	15.75	17.00	19.50	21.50	22.75	27.00	31.00	47.50	81.25	
06306250	0212	19710212	20150212	24	23.92	26.18	8.40	130.00		8.55	9.15	9.53	9.80	10.25	11.50	12.75	13.00	15.25	16.00	16.75	17.00	19.50	21.50	23.50	27.00	35.75	57.00	113.50	
06306250	0213	19710213	20150213	24	26.08	31.57	7.80	154.00		8.10	9.30	9.60	10.00	10.50	12.00	14.25	15.00	16.00	16.00	16.75	17.00	19.00	22.00	23.50	29.00	36.75	68.00	134.50	
06306250	0214	19710214	20150214	24	27.94	36.59	7.60	169.00		7.80	8.75	9.32	10.00	10.00	10.50	13.25	15.00	15.00	15.50	16.75	18.00	20.50	22.00	23.50	26.00	41.75	86.50	150.00	
06306250	0215	19710215	20150215	24	29.80	38.98	7.40	174.00		7.65	8.70	9.22	10.00	10.50	12.00	13.50	15.00	15.25	16.00	17.50	20.00	22.00	23.00	24.00	30.00	45.75	98.00	157.00	
06306250	0216	19710216	20150216	24	33.15	44.45	7.40	168.00		7.80	9.20	9.78	10.00	10.25	12.00	13.75	14.00	15.25	16.50	17.75	22.00	22.25	23.50	24.00	32.00	59.75	133.00	163.50	
06306250	0217	19710217	20150217	24	35.62	54.87	6.60	250.00		7.10	8.90	9.43	10.00	10.25	11.50	13.50	14.00	15.25	16.00	17.50	22.00	22.50	25.00	26.00	32.00	58.75	119.00	222.00	
06306250	0218	19710218	20150218	24	31.92	40.59	6.20	152.00		7.10	9.90	10.00	11.00	11.00	11.50	12.75	14.00	15.50	17.50	18.75	20.00	23.75	26.50	29.25	31.00	50.50	122.00	151.50	
06306250	0219	19710219	20150219	24	26.90	25.57	6.40	107.00		7.10	9.60	10.75	11.00	11.25	12.50	13.75	15.00	15.25	16.00	18.25	22.00	23.75	28.00	30.00	31.00	49.50	79.00	100.25	
06306250	0220	19710220	20150220	24	25.61	22.05	6.80	101.00		7.55	9.90	10.75	11.00	11.25	13.00	15.50	16.00	17.00	18.00	19.75	20.00	23.50	25.50	27.50	31.00	47.50	62.50	93.25	
06306250	0221	19710221	20150221	24	24.75	19.59	7.40	97.00		7.95	9.80	10.00	11.00	12.00	13.50	15.75	18.00	19.00	19.00	19.75	21.00	24.00	24.50	26.50	35.00	43.50	50.00	86.50	
06306250	0222	19710222	20150222	24	25.48	17.68	7.40	80.00		7.70	9.10	9.90	11.00	12.00	14.50	17.00	18.00	18.50	20.00	22.25	23.00	25.00	25.50	36.50	43.00	45.00	50.50	74.00	
06306250	0223	19710223	20150223	24	27.97	20.34	7.60	70.00		7.85	9.30	10.75	12.00	12.00	14.00	16.75	17.00	18.00	19.50	21.75	24.00	27.75	30.00	37.50	55.00	60.75	66.50	70.00	
06306250	0224	19710224	20150224	24	35.73	36.09	7.40	150.00		8.05	10.00	10.75	11.00	13.00	14.00	15.75	16.00	17.50	19.50	23.75	34.00	35.00	37.50	44.50	55.00	66.25	97.00	143.50	
06306250	0225	19710225	20150225	24	37.00	33.59	7.80	139.00		8.10	9.10	10.55	12.00	13.25	14.50	15.00	16.00	17.50	19.50	27.50	32.00	43.50	47.50	54.50	69.00	71.50	88.00	129.25	
06306250	0226	19710226	20150226	24	35.34	29.63	8.20	126.00		8.65	10.50	11.00	14.00	14.25	15.00	15.75	17.00	19.75	22.00	26.50	28.00	33.00	50.00	58.75	65.00	70.00	74.00	114.00	
06306250	0227	19710227	20150227	24	36.45	31.05	8.80	108.00		9.35	11.50	12.75	13.00	15.00	15.50	16.75	19.00	19.75	23.00	24.00	28.00	32.00	41.50	48.75	72.00	82.50	97.50	107.25	
06306250	0228	19710228	20150228	24	38.45	35.60	8.80	150.00		9.10	11.00	12.00	14.00	14.25	15.00	15.00	17.00	22.00	23.00	26.25	28.00	39.00	43.50	56.25	64.00	78.75	97.00	137.75	
06306250	0229	19720229	20120229	5	57.00	25.02	14.00	78.00					23.20	37.00	50.80	60.30	61.20	62.10	63.00	65.10	67.20	69.30	71.60	74.00	76.40				
06306250	0301	19710301	20150301	24	43.80	44.81	8.40	200.00		8.50	10.40	12.75	14.00	14.00	15.50	18.50	19.00	20.25	24.50	29.50	36.00	39.25	45.50	69.00	79.00	92.00	101.50	176.25	
06306250	0302	19710302	20150302	24	51.83	66.86	8.80	320.00		8.85	9.50	12.25	13.00	14.75	17.50	19.50	21.00	22.50	28.00	32.00	35.00	41.00	49.50	70.00	85.00	95.50	121.50	275.00	
06306250	0303	19710303	20150303	24	54.43	75.67	9.00	375.00		9.10	9.70	11.50	12.00	15.00	19.00	20.75	23.00	24.00	28.50	30.75	35.00	41.25	65.00	76.00	83.00	93.25	110.00	311.25	
06306250	0304	19710304	20150304	24	53.81	71.42	9.40	350.00		9.55	10.00	11.50	14.00	15.25	17.00	21.75	24.00	28.00	29.00	30.00	34.00	41.25	65.00	70.75	75.00	95.00	119.50	294.75	
06306250	0305	19710305	20150305	24	68.80	119.61	9.40	581.00		9.50	9.90	13.00	14.00	16.50	21.50	25.00	25.00	27.25	30.50	33.00	34.00	50.00	55.00	65.25	70.00	104.00	176.00	494.75	
06306250	0306	19710306	20150306	24	66.71	92.67	9.00	392.00		9.25	10.00	13.00	15.00	16.50	22.50	27.00	30.00	31.75	35.00	37.50	40.00	59.25	60.00	61.50	70.00	107.25	225.00	369.00	
06306250	0307	19710307	20150307	24	68.17	81.85	8.60	304.00		8.80	10.70	13.50	17.00	19.50	25.00	29.00	30.00	31.00	38.50	43.00	44.00	55.25	58.50	72.25	100.00	143.75	232.00	303.00	
06306250	0308	19710308	20150308	24	57.99	53.26	8.20	230.00		8.30	11.30	14.75	19.00	21.75	27.50	33.25	35.00	35.50	42.00	47.00	50.00	53.25	57.00	61.50	109.00	122.50	139.00	209.50	
06306250	0309	19710309	20150309	24	58.21	47.14	10.00	200.00		10.50	13.50	18.00	20.00	21.50	25.50	29.50	43.00	50.00	50.00	50.75	52.00	54.50	60.50	72.50	86.00	117.75	135.00	187.50	
06306250	0310	19710310	20150310	24	58.90	47.99	9.60	220.00		10.70	14.50	17.25	20.00	23.25	27.00	31.50	36.00	45.50	49.00	51.75	55.00	58.50	69.50	82.00	95.00	104.25	123.50	197.50	
06306250	0311	19710311	20150311	24	65.77	60.53	9.40	253.00		10.80	15.00	16.50	19.00	25.25	30.50	35.75	38.00	40.25	46.00	51.00	52.00	54.75	68.50	102.50	117.00	118.25	159.50	239.75	
06306250	0312	19710312	20150312	24	68.04	72.74	11.00	349.00		12.00	15.50	18.25	23.00	28.25	35.00	35.00	38.00	41.50	43.00	44.50	45.00	48.50	67.50	88.75	112.00	134.75	149.50	299.25	
06306250	0313	19710313	20150313	24	69.29	68.07	14.00	317.00		14.25	15.50	25.00	30.00	34.25	37.00	39.75	40.00	42.25	43.50	45.50	48.00	51.00	68.00	86.50	110.00	123.50	164.00	286.25	
