site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p90	p95	p99
09073790	ALL	19800506	20110930	1192	14.08	23.11	0.00	98.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	6.00	12.10	21.00	33.00	55.00	66.00	84.07
09073790	0101	19830101	19830101	1	0.00		0.00	0.00											0.00									
09073790	0102	19830102	19830102	1	0.00		0.00	0.00											0.00									
09073790	0103	19830103	19830103	1	0.00		0.00	0.00											0.00									
09073790	0104	19830104	19830104	1	0.00		0.00	0.00											0.00									
09073790	0105	19830105	19830105	1	0.00		0.00	0.00											0.00									
09073790	0106	19830106	19830106	1	0.00		0.00	0.00											0.00									
09073790	0107	19830107	19830107	1	0.00		0.00	0.00											0.00									
09073790	0108	19830108	19830108	1	0.00		0.00	0.00											0.00									
09073790	0109	19830109	19830109	1	0.00		0.00	0.00											0.00									
09073790	0110	19830110	19830110	1	0.00		0.00	0.00											0.00									
09073790	0111	19830111	19830111	1	0.00		0.00	0.00											0.00									
09073790	0112	19830112	19830112	1	0.00		0.00	0.00											0.00									
09073790	0113	19830113	19830113	1	0.00		0.00	0.00											0.00									
09073790	0114	19830114	19830114	1	0.00		0.00	0.00											0.00									
09073790	0115	19830115	19830115	1	0.00		0.00	0.00											0.00									
09073790	0116	19830116	19830116	1	0.00		0.00	0.00											0.00									
09073790	0117	19830117	19830117	1	0.00		0.00	0.00											0.00									
09073790	0118	19830118	19830118	1	0.00		0.00	0.00											0.00									
09073790	0119	19830119	19830119	1	0.00		0.00	0.00											0.00									
09073790	0120	19830120	19830120	1	0.00		0.00	0.00											0.00									
09073790	0121	19830121	19830121	1	0.00		0.00	0.00											0.00									
09073790	0122	19830122	19830122	1	0.00		0.00	0.00											0.00									
09073790	0123	19830123	19830123	1	0.00		0.00	0.00											0.00									
09073790	0124	19830124	19830124	1	0.00		0.00	0.00											0.00									
09073790	0125	19830125	19830125	1	0.00		0.00	0.00											0.00									
09073790	0126	19830126	19830126	1	0.00		0.00	0.00											0.00									
09073790	0127	19830127	19830127	1	0.00		0.00	0.00											0.00									
09073790	0128	19830128	19830128	1	0.00		0.00	0.00											0.00									
09073790	0129	19830129	19830129	1	0.00		0.00	0.00											0.00									
09073790	0130	19830130	19830130	1	0.00		0.00	0.00											0.00									
09073790	0131	19830131	19830131	1	0.00		0.00	0.00											0.00									
09073790	0201	19830201	19830201	1	0.00		0.00	0.00											0.00									
09073790	0202	19830202	19830202	1	0.00		0.00	0.00											0.00									
09073790	0203	19830203	19830203	1	0.00		0.00	0.00											0.00									
09073790	0204	19830204	19830204	1	0.00		0.00	0.00											0.00									
09073790	0205	19830205	19830205	1	0.00		0.00	0.00											0.00									
09073790	0206	19830206	19830206	1	0.00		0.00	0.00											0.00									
09073790	0207	19830207	19830207	1	0.00		0.00	0.00											0.00									
09073790	0208	19830208	19830208	1	0.00		0.00	0.00											0.00									
09073790	0209	19830209	19830209	1	0.00		0.00	0.00											0.00									
09073790	0210	19830210	19830210	1	0.00		0.00	0.00											0.00									
09073790	0211	19830211	19830211	1	0.00		0.00	0.00											0.00									
09073790	0212	19830212	19830212	1	0.00		0.00	0.00											0.00									
09073790	0213	19830213	19830213	1	0.00		0.00	0.00											0.00									
09073790	0214	19830214	19830214	1	0.00		0.00	0.00											0.00									
09073790	0215	19830215	19830215	1	0.00		0.00	0.00											0.00									
09073790	0216	19830216	19830216	1	0.00		0.00	0.00											0.00									
09073790	0217	19830217	19830217	1	0.00		0.00	0.00											0.00									
09073790	0218	19830218	19830218	1	0.00		0.00	0.00											0.00									
09073790	0219	19830219	19830219	1	0.00		0.00	0.00											0.00									
09073790	0220	19830220	19830220	1	0.00		0.00	0.00											0.00									
09073790	0221	19830221	19830221	1	0.00		0.00	0.00											0.00									
09073790	0222	19830222	19830222	1	0.00		0.00	0.00											0.00									
09073790	0223	19830223	19830223	1	0.00		0.00	0.00											0.00									
09073790	0224	19830224	19830224	1	0.00		0.00	0.00											0.00									
09073790	0225	19830225	19830225	1	0.00		0.00	0.00											0.00									
09073790	0226	19830226	19830226	1	0.00		0.00	0.00											0.00									
09073790	0227	19830227	19830227	1	0.00		0.00	0.00											0.00									
09073790	0228	19830228	19830228	1	0.00		0.00	0.00											0.00									
09073790	0301	19830301	19830301	1	0.00		0.00	0.00											0.00									
09073790	0302	19830302	19830302	1	0.00		0.00	0.00											0.00									
09073790	0303	19830303	19830303	1	0.00		0.00	0.00											0.00									
09073790	0304	19830304	19830304	1	0.00		0.00	0.00											0.00									
09073790	0305	19830305	19830305	1	0.00		0.00	0.00											0.00									
09073790	0306	19830306	19830306	1	0.00		0.00	0.00											0.00									
09073790	0307	19830307	19830307	1	0.00		0.00	0.00											0.00									
09073790	0308	19830308	19830308	1	0.00		0.00	0.00											0.00									
09073790	0309	19830309	19830309	1	0.00		0.00	0.00											0.00									
09073790	0310	19830310	19830310	1	0.00		0.00	0.00											0.00									
09073790	0311	19830311	19830311	1	0.00		0.00	0.00											0.00									
09073790	0312	19830312	19830312	1	0.00		0.00	0.00											0.00									
09073790	0313	19830313	19830313	1	0.00		0.00	0.00											0.00									
09073790	0314	19830314	19830314	1	0.00		0.00	0.00											0.00									
09073790	0315	19830315	19830315	1	0.00		0.00	0.00											0.00									
09073790	0316	19830316	19830316	1	0.00		0.00	0.00											0.00									
09073790	0317	19830317	19830317	1	0.00		0.00	0.00											0.00									
09073790	0318	19830318	19830318	1	0.00		0.00	0.00											0.00									
09073790	0319	19830319	19830319	1	0.00		0.00	0.00											0.00									
09073790	0320	19830320	19830320	1	0.00		0.00	0.00											0.00									
09073790	0321	19830321	19830321	1	0.00		0.00	0.00											0.00									
09073790	0322	19830322	19830322	1	0.00		0.00	0.00											0.00									
09073790	0323	19830323	19830323	1	0.00		0.00	0.00											0.00									
09073790	0324	19830324	19830324	1	0.00		0.00	0.00											0.00									
09073790	0325	19830325	19830325	1	0.00		0.00	0.00											0.00									
09073790	0326	19830326	19830326	1	0.00		0.00	0.00											0.00									
09073790	0327	19830327	19830327	1	0.00		0.00	0.00											0.00									
09073790	0328	19830328	19830328	1	0.00		0.00	0.00											0.00									
09073790	0329	19830329	19830329	1	0.00		0.00	0.00											0.00									
09073790	0330	19830330	19830330	1	0.00		0.00	0.00											0.00									
09073790	0331	19830331	19830331	1	0.00		0.00	0.00											0.00									
09073790	0401	19830401	20110401	3	0.00		0.00	0.00						0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
09073790	0402	19830402	20110402	3	0.00		0.00	0.00						0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
09073790	0403	19830403	20110403	3	0.00		0.00	0.00						0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
09073790	0404	19830404	20110404	3	0.00		0.00	0.00						0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
09073790	0405	19830405	20110405	3	0.00		0.00	0.00						0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
09073790	0406	19830406	20110406	3	0.00		0.00	0.00						0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
09073790	0407	19830407	20110407	3	0.00		0.00	0.00						0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
09073790	0408	19830408	20110408	3	0.00		0.00	0.00						0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
09073790	0409	19830409	20110409	4	0.00		0.00	0.00					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			
09073790	0410	19830410	20110410	4	0.00		0.00	0.00					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			
09073790	0411	19830411	20110411	4	0.00		0.00	0.00					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			
09073790	0412	19830412	20110412	4	0.00		0.00	0.00					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			
09073790	0413	19830413	20110413	4	0.00		0.00	0.00					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			
09073790	0414	19830414	20110414	4	0.00		0.00	0.00					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			
09073790	0415	19830415	20110415	4	0.01	0.02	0.00	0.04					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.03	0.04			
09073790	0416	19830416	20110416	4	0.01	0.02	0.00	0.04					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.03	0.04			
09073790	0417	19830417	20110417	4	0.00	0.01	0.00	0.01					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.01			
09073790	0418	19830418	20110418	4	0.00		0.00	0.00					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			
09073790	0419	19830419	20110419	4	0.00		0.00	0.00					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			
09073790	0420	19830420	20110420	4	0.24	0.48	0.00	0.97					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.48	0.73	0.97			
09073790	0421	19830421	20110421	4	1.12	2.25	0.00	4.50					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.12	2.25	3.38	4.50			
09073790	0422	19830422	20110422	4	1.62	3.25	0.00	6.50					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.62	3.25	4.88	6.50			
09073790	0423	19830423	20110423	4	0.11	0.23	0.00	0.45					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.23	0.34	0.45			
09073790	0424	19830424	20110424	4	0.00		0.00	0.00					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			
09073790	0425	19830425	20110425	4	0.00		0.00	0.00					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			
09073790	0426	19810426	20110426	5	0.00		0.00	0.00					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			
09073790	0427	19810427	20110427	5	0.70	1.57	0.00	3.50					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.70	1.75	2.80			
09073790	0428	19810428	20110428	5	1.54	3.44	0.00	7.70					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.54	3.85	6.16			
09073790	0429	19810429	20110429	5	2.20	4.92	0.00	11.00					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.20	5.50	8.80			
09073790	0430	19810430	20110430	5	3.17	6.63	0.00	15.00					0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.50	0.75	3.66	7.92	12.17			
09073790	0501	19810501	20110501	6	3.82	6.67	0.00	17.00				0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.80	1.36	2.14	3.08	4.03	7.47	11.92			
09073790	0502	19810502	20110502	6	4.33	6.59	0.00	17.00				0.00	0.00	0.00	0.00	0.00	0.00	0.65	2.15	3.66	4.38	4.52	4.66	7.78	12.08			
09073790	0503	19810503	20110503	6	5.53	8.27	0.00	20.00				0.00	0.00	0.00	0.00	0.00	0.00	0.33	1.10	1.87	3.96	7.04	10.12	13.25	16.40			
09073790	0504	19810504	20110504	6	4.19	6.45	0.00	13.00				0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.07	0.11	2.50	6.66	10.81	12.25	12.60			
09073790	0505	19810505	20110505	6	3.08	4.78	0.00	9.60				0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.78	4.89	8.01	9.07	9.32			
09073790	0506	19800506	20110506	7	1.74	2.50	0.00	6.50				0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.96	1.92	2.58	2.94	3.30	4.58			
09073790	0507	19800507	20110507	7	2.93	4.98	0.00	13.00				0.00	0.00	0.00	0.00	0.00	0.04	0.11	0.18	0.55	0.92	2.12	4.16	6.20	8.92			
09073790	0508	19800508	20110508	7	3.54	6.99	0.00	19.00				0.00	0.00	0.00	0.00	0.00	0.12	0.37	0.62	0.69	0.76	1.51	2.96	4.40	10.24			
09073790	0509	19800509	20110509	7	3.23	6.57	0.00	18.00				0.00	0.00	0.00	0.00	0.00	0.16	0.47	0.78	1.19	1.60	1.84	1.92	2.00	8.40			
09073790	0510	19800510	20110510	7	4.21	7.98	0.00	22.00				0.00	0.00	0.00	0.00	0.00	0.28	0.84	1.40	1.64	1.88	2.42	3.26	4.10	11.26			
09073790	0511	19800511	20110511	7	5.42	11.41	0.00	31.00				0.00	0.00	0.00	0.00	0.00	0.17	0.52	0.86	1.04	1.21	2.00	3.40	4.80	15.28			
09073790	0512	19800512	20110512	7	6.53	15.67	0.00	42.00				0.00	0.00	0.00	0.00	0.00	0.02	0.05	0.09	0.38	0.67	1.21	2.00	2.80	18.48			
09073790	0513	19800513	20110513	7	6.69	16.90	0.00	45.00				0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.33	0.61	1.00	1.40	18.84			
09073790	0514	19800514	20110514	7	6.89	17.69	0.00	47.00				0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.42	0.56	0.65	0.74	19.24			
09073790	0515	19800515	20110515	7	7.69	19.98	0.00	53.00				0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.07	0.22	0.48	0.74	21.64			
09073790	0516	19800516	20110516	7	9.02	23.80	0.00	63.00				0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.03	0.05	0.07	0.09	25.25			
09073790	0517	19800517	20110517	7	10.24	26.80	0.00	71.00				0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.19	0.27	0.34	0.41	28.65			
09073790	0518	19800518	20110518	7	8.25	19.77	0.00	53.00				0.00	0.00	0.00	0.00	0.00	0.05	0.14	0.24	0.70	1.17	1.74	2.42	3.10	23.06			
09073790	0519	19800519	20110519	7	7.54	16.98	0.00	46.00				0.00	0.00	0.00	0.48	0.96	1.24	1.32	1.40	1.48	1.56	1.80	2.20	2.60	19.96			
09073790	0520	19800520	20110520	7	8.44	17.10	0.00	47.00				0.00	0.00	0.00	0.40	0.79	1.31	1.96	2.60	3.16	3.72	4.10	4.30	4.50	21.50			
09073790	0521	19800521	20110521	7	13.46	21.97	0.00	61.00				0.00	0.00	0.00	0.56	1.12	1.68	2.24	2.80	6.48	10.16	13.00	15.00	17.00	34.60			
09073790	0522	19800522	20110522	7	20.35	29.91	0.00	83.00				0.00	0.00	0.00	0.21	0.42	2.00	4.95	7.90	13.94	19.98	24.00	26.00	28.00	50.00			
09073790	0523	19800523	20110523	7	23.74	30.27	0.00	83.00				0.00	0.00	0.00	0.48	0.96	3.56	8.28	13.00	21.00	29.00	33.60	34.80	36.00	54.80			
09073790	0524	19800524	20110524	7	25.31	29.46	0.00	85.00				0.76	2.28	3.80	5.64	7.48	9.52	11.76	14.00	20.80	27.60	31.80	33.40	35.00	55.00			
09073790	0525	19800525	20110525	7	21.14	23.91	0.00	73.00				1.80	5.40	9.00	10.20	11.40	12.40	13.20	14.00	15.60	17.20	18.80	20.40	22.00	42.40			
