site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p85	p90	p95	p99
0214643820	ALL	20040716	20160217	4212	1.14	3.81	0.00	117.00	0.00	0.04	0.07	0.09	0.11	0.13	0.16	0.18	0.21	0.24	0.27	0.30	0.35	0.41	0.49	0.61	0.82	1.30	2.20	4.90	18.00
0214643820	0101	20050101	20160101	12	0.62	0.69	0.13	2.50			0.13	0.14	0.19	0.23	0.24	0.27	0.30	0.30	0.34	0.38	0.40	0.45	0.57	0.95	1.14	1.27	2.11		
0214643820	0102	20050102	20160102	12	0.67	0.57	0.11	2.00			0.12	0.13	0.17	0.21	0.27	0.29	0.30	0.32	0.46	0.62	0.77	0.90	1.01	1.07	1.14	1.24	1.76		
0214643820	0103	20050103	20160103	12	0.38	0.31	0.10	1.20			0.11	0.13	0.16	0.18	0.18	0.19	0.21	0.28	0.30	0.32	0.37	0.42	0.46	0.49	0.58	0.72	1.05		
0214643820	0104	20050104	20160104	12	0.65	1.14	0.09	4.20			0.10	0.13	0.16	0.18	0.19	0.20	0.22	0.26	0.28	0.30	0.31	0.35	0.43	0.56	0.72	1.05	3.20		
0214643820	0105	20050105	20160105	12	0.82	1.59	0.11	5.70			0.12	0.14	0.15	0.16	0.19	0.22	0.25	0.28	0.29	0.30	0.32	0.32	0.34	0.48	0.96	1.81	4.47		
0214643820	0106	20050106	20160106	12	1.47	3.65	0.10	13.00			0.10	0.11	0.16	0.20	0.21	0.24	0.26	0.27	0.29	0.34	0.48	0.58	0.66	0.73	0.98	1.89	9.49		
0214643820	0107	20050107	20160107	12	0.99	1.74	0.10	5.30			0.11	0.12	0.14	0.16	0.18	0.21	0.24	0.26	0.28	0.29	0.33	0.37	0.41	0.46	1.89	4.07	4.91		
0214643820	0108	20050108	20160108	12	0.68	1.40	0.09	5.10			0.10	0.13	0.15	0.17	0.19	0.23	0.26	0.28	0.30	0.33	0.33	0.35	0.39	0.45	0.48	0.72	3.72		
0214643820	0109	20050109	20160109	12	0.41	0.41	0.09	1.50			0.10	0.13	0.15	0.17	0.18	0.22	0.27	0.29	0.30	0.31	0.31	0.31	0.33	0.37	0.63	1.01	1.34		
0214643820	0110	20050110	20160110	12	0.63	1.02	0.14	3.80			0.15	0.18	0.22	0.24	0.24	0.25	0.25	0.26	0.27	0.29	0.36	0.38	0.41	0.61	0.72	0.91	2.89		
0214643820	0111	20050111	20160111	12	2.27	5.35	0.15	19.00			0.16	0.17	0.21	0.24	0.26	0.34	0.42	0.47	0.49	0.51	0.55	0.63	0.77	1.08	2.16	4.37	14.38		
0214643820	0112	20050112	20160112	12	1.10	2.44	0.10	8.80			0.11	0.14	0.16	0.17	0.18	0.25	0.32	0.34	0.39	0.44	0.47	0.48	0.48	0.49	0.82	1.68	6.55		
0214643820	0113	20050113	20160113	12	0.45	0.47	0.08	1.80			0.10	0.13	0.15	0.17	0.17	0.18	0.19	0.23	0.33	0.41	0.43	0.44	0.48	0.59	0.64	0.71	1.46		
0214643820	0114	20060114	20160114	11	0.41	0.27	0.08	0.93			0.10	0.16	0.19	0.20	0.21	0.24	0.35	0.39	0.40	0.41	0.41	0.42	0.44	0.47	0.70	0.87	0.91		
0214643820	0115	20050115	20160115	12	0.79	1.71	0.08	6.20			0.10	0.14	0.16	0.17	0.18	0.20	0.24	0.31	0.34	0.36	0.38	0.40	0.43	0.49	0.52	0.82	4.50		
0214643820	0116	20050116	20160116	12	0.41	0.25	0.08	0.97			0.10	0.15	0.17	0.21	0.30	0.32	0.33	0.34	0.35	0.37	0.42	0.44	0.47	0.51	0.61	0.75	0.90		
