site_no	monthday	begin_dt	end_dt	count_nu	mean	std	min	max	p01	p05	p10	p15	p20	p25	p30	p35	p40	p45	p50	p55	p60	p65	p70	p75	p80	p90	p95	p99
09073721	ALL	20090409	20110930	541	5.24	6.33	0.00	21.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.96	6.00	9.33	12.00	13.00	13.00	13.00	14.90	20.00
09073721	0401	20100401	20110401	2	0.00		0.00	0.00								0.00	0.00	0.00	0.00	0.00	0.00	0.00						
09073721	0402	20100402	20110402	2	0.00		0.00	0.00								0.00	0.00	0.00	0.00	0.00	0.00	0.00						
09073721	0403	20100403	20110403	2	0.00		0.00	0.00								0.00	0.00	0.00	0.00	0.00	0.00	0.00						
09073721	0404	20100404	20110404	2	0.00		0.00	0.00								0.00	0.00	0.00	0.00	0.00	0.00	0.00						
09073721	0405	20100405	20110405	2	0.00		0.00	0.00								0.00	0.00	0.00	0.00	0.00	0.00	0.00						
09073721	0406	20100406	20110406	2	0.00		0.00	0.00								0.00	0.00	0.00	0.00	0.00	0.00	0.00						
09073721	0407	20100407	20110407	2	0.00		0.00	0.00								0.00	0.00	0.00	0.00	0.00	0.00	0.00						
09073721	0408	20100408	20110408	2	0.00		0.00	0.00								0.00	0.00	0.00	0.00	0.00	0.00	0.00						
09073721	0409	20090409	20110409	3	0.00		0.00	0.00						0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
09073721	0410	20090410	20110410	3	0.00		0.00	0.00						0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
09073721	0411	20090411	20110411	3	0.00		0.00	0.00						0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00				
09073721	0412	20090412	20110412	3	0.12	0.20	0.00	0.35						0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.14	0.21	0.28	0.35				
09073721	0413	20090413	20110413	3	0.15	0.27	0.00	0.46						0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.18	0.28	0.37	0.46				
09073721	0414	20090414	20110414	3	0.26	0.28	0.03	0.57						0.03	0.06	0.09	0.11	0.14	0.17	0.25	0.33	0.41	0.49	0.57				
09073721	0415	20090415	20110415	3	0.84	0.67	0.35	1.60						0.35	0.40	0.44	0.49	0.53	0.58	0.78	0.99	1.19	1.40	1.60				
09073721	0416	20090416	20110416	3	1.91	2.08	0.14	4.20						0.14	0.39	0.64	0.90	1.15	1.40	1.96	2.52	3.08	3.64	4.20				
09073721	0417	20090417	20110417	3	3.65	5.52	0.00	10.00						0.00	0.19	0.38	0.56	0.75	0.94	2.75	4.56	6.38	8.19	10.00				
09073721	0418	20090418	20110418	3	2.83	4.32	0.00	7.80						0.00	0.14	0.27	0.41	0.54	0.68	2.10	3.53	4.95	6.38	7.80				
09073721	0419	20090419	20110419	3	4.51	7.35	0.00	13.00						0.00	0.11	0.22	0.32	0.43	0.54	3.03	5.52	8.02	10.51	13.00				
09073721	0420	20090420	20110420	3	5.00	7.81	0.12	14.00						0.12	0.27	0.42	0.57	0.72	0.87	3.50	6.12	8.75	11.37	14.00				
09073721	0421	20090421	20110421	3	4.95	6.98	0.56	13.00						0.56	0.71	0.86	1.00	1.15	1.30	3.64	5.98	8.32	10.66	13.00				
09073721	0422	20090422	20110422	3	5.46	6.61	0.68	13.00						0.68	1.08	1.49	1.89	2.30	2.70	4.76	6.82	8.88	10.94	13.00				
09073721	0423	20090423	20110423	3	5.72	6.51	0.47	13.00						0.47	1.12	1.76	2.41	3.05	3.70	5.56	7.42	9.28	11.14	13.00				
09073721	0424	20090424	20110424	3	5.09	4.72	0.27	9.70						0.27	1.28	2.28	3.29	4.29	5.30	6.18	7.06	7.94	8.82	9.70				
09073721	0425	20090425	20110425	3	4.63	3.87	0.18	7.20						0.18	1.44	2.71	3.97	5.24	6.50	6.64	6.78	6.92	7.06	7.20				
09073721	0426	20090426	20110426	3	4.44	3.96	0.12	7.90						0.12	1.16	2.19	3.23	4.26	5.30	5.82	6.34	6.86	7.38	7.90				
09073721	0427	20090427	20110427	3	4.23	3.98	0.00	7.90						0.00	0.96	1.92	2.88	3.84	4.80	5.42	6.04	6.66	7.28	7.90				
09073721	0428	20090428	20110428	3	4.46	3.76	0.17	7.20						0.17	1.34	2.50	3.67	4.83	6.00	6.24	6.48	6.72	6.96	7.20				
09073721	0429	20090429	20110429	3	4.36	3.39	0.47	6.70						0.47	1.56	2.64	3.73	4.81	5.90	6.06	6.22	6.38	6.54	6.70				
09073721	0430	20090430	20110430	3	5.03	4.86	0.29	10.00						0.29	1.19	2.09	3.00	3.90	4.80	5.84	6.88	7.92	8.96	10.00				
09073721	0501	20090501	20110501	3	6.28	7.73	0.25	15.00						0.25	0.92	1.59	2.26	2.93	3.60	5.88	8.16	10.44	12.72	15.00				
09073721	0502	20090502	20110502	3	6.08	7.85	0.24	15.00						0.24	0.79	1.34	1.90	2.45	3.00	5.40	7.80	10.20	12.60	15.00				
09073721	0503	20090503	20110503	3	5.36	6.74	0.27	13.00						0.27	0.78	1.28	1.79	2.29	2.80	4.84	6.88	8.92	10.96	13.00				
09073721	0504	20090504	20110504	3	4.21	4.21	0.53	8.80						0.53	1.08	1.64	2.19	2.75	3.30	4.40	5.50	6.60	7.70	8.80				
09073721	0505	20090505	20110505	3	4.47	3.30	1.10	7.70						1.10	1.80	2.50	3.20	3.90	4.60	5.22	5.84	6.46	7.08	7.70				
09073721	0506	20090506	20110506	3	5.30	4.12	1.70	9.80						1.70	2.24	2.78	3.32	3.86	4.40	5.48	6.56	7.64	8.72	9.80				
09073721	0507	20090507	20110507	3	6.50	5.67	2.60	13.00						2.60	2.86	3.12	3.38	3.64	3.90	5.72	7.54	9.36	11.18	13.00				
09073721	0508	20090508	20110508	3	7.13	4.23	4.40	12.00						4.40	4.52	4.64	4.76	4.88	5.00	6.40	7.80	9.20	10.60	12.00				
09073721	0509	20090509	20110509	3	7.77	3.68	5.30	12.00						5.30	5.44	5.58	5.72	5.86	6.00	7.20	8.40	9.60	10.80	12.00				
09073721	0510	20090510	20110510	3	9.50	3.77	5.50	13.00						5.50	6.40	7.30	8.20	9.10	10.00	10.60	11.20	11.80	12.40	13.00				
09073721	0511	20090511	20110511	3	10.00	3.00	7.00	13.00						7.00	7.60	8.20	8.80	9.40	10.00	10.60	11.20	11.80	12.40	13.00				
09073721	0512	20090512	20110512	3	10.10	2.65	7.80	13.00						7.80	8.14	8.48	8.82	9.16	9.50	10.20	10.90	11.60	12.30	13.00				
09073721	0513	20090513	20110513	3	9.00	2.65	7.00	12.00						7.00	7.20	7.40	7.60	7.80	8.00	8.80	9.60	10.40	11.20	12.00				
09073721	0514	20090514	20110514	3	8.57	3.85	6.10	13.00						6.10	6.20	6.30	6.40	6.50	6.60	7.88	9.16	10.44	11.72	13.00				
09073721	0515	20090515	20110515	3	8.80	3.70	6.00	13.00						6.00	6.28	6.56	6.84	7.12	7.40	8.52	9.64	10.76	11.88	13.00				
09073721	0516	20090516	20110516	3	10.00	3.61	6.00	13.00						6.00	7.00	8.00	9.00	10.00	11.00	11.40	11.80	12.20	12.60	13.00				
09073721	0517	20090517	20110517	3	11.93	1.85	9.80	13.00						9.80	10.44	11.08	11.72	12.36	13.00	13.00	13.00	13.00	13.00	13.00				
09073721	0518	20090518	20110518	3	13.00		13.00	13.00						13.00	13.00	13.00	13.00	13.00	13.00	13.00	13.00	13.00	13.00	13.00				
09073721	0519	20090519	20110519	3	12.67	0.58	12.00	13.00						12.00	12.20	12.40	12.60	12.80	13.00	13.00	13.00	13.00	13.00	13.00				
09073721	0520	20090520	20110520	3	11.10	1.85	9.30	13.00						9.30	9.64	9.98	10.32	10.66	11.00	11.40	11.80	12.20	12.60	13.00				
09073721	0521	20090521	20110521	3	10.73	3.10	7.20	13.00						7.20	8.16	9.12	10.08	11.04	12.00	12.20	12.40	12.60	12.80	13.00				
09073721	0522	20090522	20110522	3	10.80	3.81	6.40	13.00						6.40	7.72	9.04	10.36	11.68	13.00	13.00	13.00	13.00	13.00	13.00				
09073721	0523	20090523	20110523	3	11.47	2.66	8.40	13.00						8.40	9.32	10.24	11.16	12.08	13.00	13.00	13.00	13.00	13.00	13.00				
09073721	0524	20090524	20110524	3	11.83	2.02	9.50	13.00						9.50	10.20	10.90	11.60	12.30	13.00	13.00	13.00	13.00	13.00	13.00				
09073721	0525	20090525	20110525	3	12.17	4.31	7.50	16.00						7.50	8.60	9.70	10.80	11.90	13.00	13.60	14.20	14.80	15.40	16.00				
09073721	0526	20090526	20110526	3	12.30	2.14	9.90	14.00						9.90	10.52	11.14	11.76	12.38	13.00	13.20	13.40	13.60	13.80	14.00				
09073721	0527	20090527	20110527	3	13.67	1.15	13.00	15.00						13.00	13.00	13.00	13.00	13.00	13.00	13.40	13.80	14.20	14.60	15.00				
09073721	0528	20090528	20110528	3	13.33	0.58	13.00	14.00						13.00	13.00	13.00	13.00	13.00	13.00	13.20	13.40	13.60	13.80	14.00				
09073721	0529	20090529	20110529	3	13.33	0.58	13.00	14.00						13.00	13.00	13.00	13.00	13.00	13.00	13.20	13.40	13.60	13.80	14.00				
09073721	0530	20090530	20110530	3	13.00	1.00	12.00	14.00						12.00	12.20	12.40	12.60	12.80	13.00	13.20	13.40	13.60	13.80	14.00				
09073721	0531	20090531	20110531	3	13.00		13.00	13.00						13.00	13.00	13.00	13.00	13.00	13.00	13.00	13.00	13.00	13.00	13.00				
09073721	0601	20090601	20110601	3	13.00		13.00	13.00						13.00	13.00	13.00	13.00	13.00	13.00	13.00	13.00	13.00	13.00	13.00				
09073721	0602	20090602	20110602	3	13.00		13.00	13.00						13.00	13.00	13.00	13.00	13.00	13.00	13.00	13.00	13.00	13.00	13.00				
